Data Set 1:Time(s),Data Set 1:pH
154,2.406608105
154.5,2.405004978
155,2.404202461
155.5,2.407411098
156,2.42585659
156.5,2.417034626
157,2.404202461
157.5,2.406608105
158,2.408212662
158.5,2.406608105
159,2.404202461
159.5,2.406608105
160,2.407411098
160.5,2.404202461
161,2.401796341
161.5,2.401796341
162,2.399390697
162.5,2.403400898
163,2.401796341
163.5,2.402597904
164,2.405806541
164.5,2.396984577
165,2.396984577
165.5,2.398589134
166,2.398589134
166.5,2.399390697
167,2.395380497
167.5,2.400994778
168,2.401796341
168.5,2.401796341
169,2.401796341
169.5,2.402597904
170,2.403400898
170.5,2.400192261
171,2.401796341
171.5,2.402597904
172,2.402597904
172.5,2.399390697
173,2.401796341
173.5,2.402597904
174,2.400994778
174.5,2.39778614
175,2.404202461
175.5,2.400192261
176,2.387360096
176.5,2.425055027
177,2.404202461
177.5,2.414628506
178,2.406608105
178.5,2.409816742
