Data Set 1:Time(s),Data Set 1:Force G(N),Data Set 2:Time(s),Data Set 2:Force G(N),Data Set 3:Time(s),Data Set 3:Force G(N)
0,0.0062255859375,0,0.01245880126953125,0,0.00623321533203125
0.02,0.01038360595703125,0.02,0.0062255859375,0.02,-0.004150390625
0.040000000000000001,0.00830841064453125,0.040000000000000001,0.01038360595703125,0.040000000000000001,0
0.059999999999999998,0.01453399658203125,0.059999999999999998,0.0062255859375,0.059999999999999998,0.00830841064453125
0.080000000000000002,0.01245880126953125,0.080000000000000002,-0.00623321533203125,0.080000000000000002,0.0020751953125
0.10000000000000001,0.0166168212890625,0.10000000000000001,0.00830841064453125,0.10000000000000001,0.00623321533203125
0.12,0.0207672119140625,0.12,0.004150390625,0.12,0.00830841064453125
0.14000000000000001,0.00830841064453125,0.14000000000000001,0.0020751953125,0.14000000000000001,0.0020751953125
0.16,0.01038360595703125,0.16,0.004150390625,0.16,0.0020751953125
0.17999999999999999,0.01038360595703125,0.17999999999999999,0.01245880126953125,0.17999999999999999,0
0.20000000000000001,0.01245880126953125,0.20000000000000001,0.00830841064453125,0.20000000000000001,0.00830841064453125
0.22,0.01245880126953125,0.22,0.004150390625,0.22,0.00830841064453125
0.23999999999999999,0.0062255859375,0.23999999999999999,0.01038360595703125,0.23999999999999999,0
0.26000000000000001,0.01038360595703125,0.26000000000000001,0.01038360595703125,0.26000000000000001,0.02285003662109375
0.28000000000000003,0.0166168212890625,0.28000000000000003,0.00830841064453125,0.28000000000000003,0.0519256591796875
0.29999999999999999,0.01038360595703125,0.29999999999999999,0.004150390625,0.29999999999999999,0.09139251708984375
0.32000000000000001,0.00830841064453125,0.32000000000000001,0.004150390625,0.32000000000000001,0.08931732177734375
0.34000000000000002,0.004150390625,0.34000000000000002,-0.00415802001953125,0.34000000000000002,0.07685089111328125
0.35999999999999999,0.0062255859375,0.35999999999999999,0.004150390625,0.35999999999999999,0.0851593017578125
0.38,0.01038360595703125,0.38,0.004150390625,0.38,0.097625732421875
0.40000000000000002,0.01245880126953125,0.40000000000000002,0.01453399658203125,0.40000000000000002,0.095550537109375
0.41999999999999998,0.01038360595703125,0.41999999999999998,0.004150390625,0.41999999999999998,0.10385894775390625
0.44,0.01245880126953125,0.44,0.01038360595703125,0.44,0.1121673583984375
0.46000000000000002,0.00830841064453125,0.46000000000000002,0,0.46000000000000002,0.1163177490234375
0.47999999999999998,0.0062255859375,0.47999999999999998,0.004150390625,0.47999999999999998,0.10800933837890625
0.5,0.004150390625,0.5,0.0062255859375,0.5,0.10800933837890625
0.52000000000000002,0.01245880126953125,0.52000000000000002,0.0062255859375,0.52000000000000002,0.101776123046875
0.54000000000000004,0.01245880126953125,0.54000000000000004,0.0020751953125,0.54000000000000004,0.09346771240234375
0.56000000000000005,0.01038360595703125,0.56000000000000005,0.0062255859375,0.56000000000000005,0.11008453369140625
0.57999999999999996,0.01038360595703125,0.57999999999999996,0.0062255859375,0.57999999999999996,0.12670135498046875
0.59999999999999998,0.004150390625,0.59999999999999998,0.0062255859375,0.59999999999999998,0.1495513916015625
0.62,0.0062255859375,0.62,0.01038360595703125,0.62,0.166168212890625
0.64000000000000001,0.0062255859375,0.64000000000000001,0.0062255859375,0.64000000000000001,0.17240142822265625
0.66000000000000003,0.01038360595703125,0.66000000000000003,0.0020751953125,0.66000000000000003,0.17032623291015625
0.68000000000000005,-0.00208282470703125,0.68000000000000005,0.004150390625,0.68000000000000005,0.164093017578125
0.69999999999999996,0.01245880126953125,0.69999999999999996,0.00830841064453125,0.69999999999999996,0.1329345703125
0.71999999999999997,0.0062255859375,0.71999999999999997,0.004150390625,0.71999999999999997,0.095550537109375
0.73999999999999999,0,0.73999999999999999,0.01245880126953125,0.73999999999999999,0.06439208984375
0.76000000000000001,0.01245880126953125,0.76000000000000001,0.0020751953125,0.76000000000000001,0.035308837890625
0.78000000000000003,0.01245880126953125,0.78000000000000003,-0.00208282470703125,0.78000000000000003,0.0186920166015625
0.80000000000000004,0.0166168212890625,0.80000000000000004,0.0020751953125,0.80000000000000004,0.01038360595703125
0.81999999999999995,0.0062255859375,0.81999999999999995,-0.00415802001953125,0.81999999999999995,0.0186920166015625
0.83999999999999997,0.0062255859375,0.83999999999999997,-0.0103912353515625,0.83999999999999997,0.05400848388671875
0.85999999999999999,0.01038360595703125,0.85999999999999999,-0.00208282470703125,0.85999999999999999,0.09346771240234375
0.88,0.0062255859375,0.88,-0.00830841064453125,0.88,0.12047576904296875
0.90000000000000002,0.00830841064453125,0.90000000000000002,0,0.90000000000000002,0.13709259033203125
0.92000000000000004,0.01245880126953125,0.92000000000000004,-0.00208282470703125,0.92000000000000004,0.1516265869140625
0.93999999999999995,0,0.93999999999999995,-0.00415802001953125,0.93999999999999995,0.1516265869140625
0.95999999999999996,0.00830841064453125,0.95999999999999996,0.004150390625,0.95999999999999996,0.15578460693359375
0.97999999999999998,0.01038360595703125,0.97999999999999998,0,0.97999999999999998,0.15993499755859375
1,0.00830841064453125,1,-0.00415802001953125,1,0.17447662353515625
1.02,0.01245880126953125,1.02,0,1.02,0.18901824951171875
1.04,0.00830841064453125,1.04,0.0020751953125,1.04,0.20147705078125
1.0600000000000001,0.01453399658203125,1.0600000000000001,0.0020751953125,1.0600000000000001,0.20355987548828125
1.0800000000000001,0.0020751953125,1.0800000000000001,0.0062255859375,1.0800000000000001,0.22225189208984375
1.1000000000000001,0.0062255859375,1.1000000000000001,0.0062255859375,1.1000000000000001,0.230560302734375
