Data Set 1:Time(s),Data Set 1:Force G(N),Data Set 2:Time(s),Data Set 2:Force G(N),Data Set 3:Time(s),Data Set 3:Force G(N),Data Set 4:Time(s),Data Set 4:Force G(N),Data Set 5:Time(s),Data Set 5:Force G(N),Data Set 6:Time(s),Data Set 6:Force G(N),Data Set 7:Time(s),Data Set 7:Force G(N),Data Set 8:Time(s),Data Set 8:Force G(N),Data Set 9:Time(s),Data Set 9:Force G(N),Data Set 10:Time(s),Data Set 10:Force G(N),Data Set 11:Time(s),Data Set 11:Force G(N),Data Set 12:Time(s),Data Set 12:Force G(N),Data Set 13:Time(s),Data Set 13:Force G(N),Data Set 14:Time(s),Data Set 14:Force G(N),Data Set 15:Time(s),Data Set 15:Force G(N)
0,-0.03531646728515625,0,-0.029083251953125,0,-0.02285003662109375,0,-0.031158447265625,0,-0.027008056640625,0,-0.01453399658203125,0,-0.02907562255859375,0,-0.031158447265625,0,-0.00208282470703125,0,-0.00830841064453125,0,0.004150390625,0,0.01245880126953125,0,0.00208282470703125,0,0.00415802001953125,0,0.004150390625
0.02,-0.033233642578125,0.02,-0.029083251953125,0.02,-0.02285003662109375,0.02,-0.035308837890625,0.02,-0.033233642578125,0.02,-0.0207672119140625,0.02,-0.02907562255859375,0.02,-0.02492523193359375,0.02,-0.00208282470703125,0.02,-0.0145416259765625,0.02,0.004150390625,0.02,0.01245880126953125,0.02,0.00415802001953125,0.02,-0.0020751953125,0.02,0.0062255859375
0.040000000000000001,-0.03946685791015625,0.040000000000000001,-0.029083251953125,0.040000000000000001,-0.027008056640625,0.040000000000000001,-0.029083251953125,0.040000000000000001,-0.03739166259765625,0.040000000000000001,-0.0228424072265625,0.040000000000000001,-0.035308837890625,0.040000000000000001,-0.02492523193359375,0.040000000000000001,0.004150390625,0.040000000000000001,-0.004150390625,0.040000000000000001,0.0020751953125,0.040000000000000001,0.00830841064453125,0.040000000000000001,0.00830841064453125,0.040000000000000001,0,0.040000000000000001,0.00830841064453125
0.059999999999999998,-0.033233642578125,0.059999999999999998,-0.031158447265625,0.059999999999999998,-0.029083251953125,0.059999999999999998,-0.031158447265625,0.059999999999999998,-0.029083251953125,0.059999999999999998,-0.0186920166015625,0.059999999999999998,-0.031158447265625,0.059999999999999998,-0.033233642578125,0.059999999999999998,0.0020751953125,0.059999999999999998,-0.00623321533203125,0.059999999999999998,-0.0020751953125,0.059999999999999998,0.00830841064453125,0.059999999999999998,0,0.059999999999999998,0.00415802001953125,0.059999999999999998,0.00830841064453125
0.080000000000000002,-0.027008056640625,0.080000000000000002,-0.033233642578125,0.080000000000000002,-0.029083251953125,0.080000000000000002,-0.035308837890625,0.080000000000000002,-0.033233642578125,0.080000000000000002,-0.01038360595703125,0.080000000000000002,-0.02700042724609375,0.080000000000000002,-0.033233642578125,0.080000000000000002,-0.00208282470703125,0.080000000000000002,-0.00830841064453125,0.080000000000000002,0,0.080000000000000002,0.01038360595703125,0.080000000000000002,-0.0020751953125,0.080000000000000002,0.00623321533203125,0.080000000000000002,0.0062255859375
0.10000000000000001,-0.029083251953125,0.10000000000000001,-0.03531646728515625,0.10000000000000001,-0.031158447265625,0.10000000000000001,-0.03946685791015625,0.10000000000000001,-0.033233642578125,0.10000000000000001,-0.0166168212890625,0.10000000000000001,-0.031158447265625,0.10000000000000001,-0.031158447265625,0.10000000000000001,-0.00208282470703125,0.10000000000000001,-0.00830841064453125,0.10000000000000001,0.0020751953125,0.10000000000000001,0.00830841064453125,0.10000000000000001,0.00415802001953125,0.10000000000000001,0,0.10000000000000001,0.0020751953125
0.12,-0.031158447265625,0.12,-0.03531646728515625,0.12,-0.02492523193359375,0.12,-0.035308837890625,0.12,-0.031158447265625,0.12,-0.02700042724609375,0.12,-0.02492523193359375,0.12,-0.033233642578125,0.12,0,0.12,-0.0145416259765625,0.12,0.0020751953125,0.12,0.00830841064453125,0.12,0.00415802001953125,0.12,0.00830841064453125,0.12,-0.00208282470703125
0.14000000000000001,-0.029083251953125,0.14000000000000001,-0.031158447265625,0.14000000000000001,-0.02492523193359375,0.14000000000000001,-0.03946685791015625,0.14000000000000001,-0.027008056640625,0.14000000000000001,-0.0166168212890625,0.14000000000000001,-0.033233642578125,0.14000000000000001,-0.027008056640625,0.14000000000000001,0.0020751953125,0.14000000000000001,-0.00830841064453125,0.14000000000000001,0,0.14000000000000001,0.0020751953125,0.14000000000000001,0.00415802001953125,0.14000000000000001,0.00415802001953125,0.14000000000000001,0.0020751953125
0.16,-0.027008056640625,0.16,-0.031158447265625,0.16,-0.02492523193359375,0.16,-0.03739166259765625,0.16,-0.03739166259765625,0.16,-0.01453399658203125,0.16,-0.031158447265625,0.16,-0.031158447265625,0.16,0.0020751953125,0.16,-0.01245880126953125,0.16,-0.00623321533203125,0.16,0.0145416259765625,0.16,0.00415802001953125,0.16,0.0020751953125,0.16,0.00830841064453125
0.17999999999999999,-0.031158447265625,0.17999999999999999,-0.031158447265625,0.17999999999999999,-0.029083251953125,0.17999999999999999,-0.02700042724609375,0.17999999999999999,-0.029083251953125,0.17999999999999999,-0.00830841064453125,0.17999999999999999,-0.02285003662109375,0.17999999999999999,-0.033233642578125,0.17999999999999999,-0.00415802001953125,0.17999999999999999,-0.00623321533203125,0.17999999999999999,0.004150390625,0.17999999999999999,0.0145416259765625,0.17999999999999999,0.00830841064453125,0.17999999999999999,-0.0020751953125,0.17999999999999999,0.00830841064453125
