Data Set 1:Time(s),Data Set 1:Force G(N),Data Set 2:Time(s),Data Set 2:Force G(N),Data Set 3:Time(s),Data Set 3:Force G(N),Data Set 4:Time(s),Data Set 4:Force G(N),Data Set 5:Time(s),Data Set 5:Force G(N),Data Set 6:Time(s),Data Set 6:Force G(N),Data Set 7:Time(s),Data Set 7:Force G(N),Data Set 8:Time(s),Data Set 8:Force G(N),Data Set 9:Time(s),Data Set 9:Force G(N),Data Set 10:Time(s),Data Set 10:Force G(N)
0,0.22800445556640625,0,-0.0166168212890625,0,-0.02077484130859375,0,-0.02285003662109375,0,-0.01869964599609375,0,0.01038360595703125,0,0.01453399658203125,0,-0.0124664306640625,0,-0.0103912353515625,0,0.49434661865234375
0.02,0.24462127685546875,0.02,-0.0186920166015625,0.02,-0.02492523193359375,0.02,-0.02492523193359375,0.02,-0.00830841064453125,0.02,0.00830841064453125,0.02,0.01453399658203125,0.02,-0.0103912353515625,0.02,-0.00830841064453125,0.02,0.504730224609375
0.040000000000000001,0.2363128662109375,0.040000000000000001,-0.02492523193359375,0.040000000000000001,-0.02077484130859375,0.040000000000000001,-0.0166168212890625,0.040000000000000001,-0.0166168212890625,0.040000000000000001,0.01038360595703125,0.040000000000000001,0.01245880126953125,0.040000000000000001,-0.00830841064453125,0.040000000000000001,-0.0103912353515625,0.040000000000000001,0.500579833984375
0.059999999999999998,0.24462127685546875,0.059999999999999998,-0.0186920166015625,0.059999999999999998,-0.0166168212890625,0.059999999999999998,-0.02492523193359375,0.059999999999999998,-0.01869964599609375,0.059999999999999998,0.01245880126953125,0.059999999999999998,0.0228424072265625,0.059999999999999998,-0.0124664306640625,0.059999999999999998,-0.0124664306640625,0.059999999999999998,0.49434661865234375
0.080000000000000002,0.2404632568359375,0.080000000000000002,-0.0145416259765625,0.080000000000000002,-0.01869964599609375,0.080000000000000002,-0.02285003662109375,0.080000000000000002,-0.0103912353515625,0.080000000000000002,0.0062255859375,0.080000000000000002,0.0166168212890625,0.080000000000000002,-0.0166168212890625,0.080000000000000002,-0.0145416259765625,0.080000000000000002,0.49642181396484375
0.10000000000000001,0.2383880615234375,0.10000000000000001,-0.02285003662109375,0.10000000000000001,-0.0166168212890625,0.10000000000000001,-0.01869964599609375,0.10000000000000001,-0.0124664306640625,0.10000000000000001,0.0062255859375,0.10000000000000001,0.01038360595703125,0.10000000000000001,-0.0166168212890625,0.10000000000000001,-0.0103912353515625,0.10000000000000001,0.5192718505859375
0.12,0.24462127685546875,0.12,-0.02492523193359375,0.12,-0.01869964599609375,0.12,-0.0166168212890625,0.12,-0.0145416259765625,0.12,0,0.12,0.01038360595703125,0.12,-0.0124664306640625,0.12,-0.0145416259765625,0.12,0.50888824462890625
0.14000000000000001,0.2404632568359375,0.14000000000000001,-0.02285003662109375,0.14000000000000001,-0.02285003662109375,0.14000000000000001,-0.0166168212890625,0.14000000000000001,-0.0103912353515625,0.14000000000000001,0.004150390625,0.14000000000000001,0.01245880126953125,0.14000000000000001,-0.0103912353515625,0.14000000000000001,-0.0124664306640625,0.14000000000000001,0.50888824462890625
0.16,0.23007965087890625,0.16,-0.0207672119140625,0.16,-0.0145416259765625,0.16,-0.02285003662109375,0.16,-0.0124664306640625,0.16,0.00830841064453125,0.16,0.0186920166015625,0.16,-0.0145416259765625,0.16,-0.0103912353515625,0.16,0.50888824462890625
0.17999999999999999,0.2363128662109375,0.17999999999999999,-0.0207672119140625,0.17999999999999999,-0.01869964599609375,0.17999999999999999,-0.02077484130859375,0.17999999999999999,-0.0124664306640625,0.17999999999999999,0.0020751953125,0.17999999999999999,0.01453399658203125,0.17999999999999999,-0.0145416259765625,0.17999999999999999,-0.0103912353515625,0.17999999999999999,0.50888824462890625
0.20000000000000001,0.23215484619140625,0.20000000000000001,-0.0166168212890625,0.20000000000000001,-0.0145416259765625,0.20000000000000001,-0.02285003662109375,0.20000000000000001,-0.0103912353515625,0.20000000000000001,-0.00623321533203125,0.20000000000000001,0.0166168212890625,0.20000000000000001,-0.00623321533203125,0.20000000000000001,-0.0145416259765625,0.20000000000000001,0.50681304931640625
0.22,0.2363128662109375,0.22,-0.02492523193359375,0.22,-0.02285003662109375,0.22,-0.02077484130859375,0.22,-0.0145416259765625,0.22,-0.00623321533203125,0.22,0.0166168212890625,0.22,-0.0124664306640625,0.22,-0.01869964599609375,0.22,0.498504638671875
0.23999999999999999,0.23423004150390625,0.23999999999999999,-0.0207672119140625,0.23999999999999999,-0.0145416259765625,0.23999999999999999,-0.0166168212890625,0.23999999999999999,-0.02492523193359375,0.23999999999999999,-0.00208282470703125,0.23999999999999999,0.01453399658203125,0.23999999999999999,-0.00830841064453125,0.23999999999999999,-0.0145416259765625,0.23999999999999999,0.500579833984375
0.26000000000000001,0.23007965087890625,0.26000000000000001,-0.0166168212890625,0.26000000000000001,-0.01869964599609375,0.26000000000000001,-0.0166168212890625,0.26000000000000001,-0.0166168212890625,0.26000000000000001,-0.00830841064453125,0.26000000000000001,0.01453399658203125,0.26000000000000001,-0.00830841064453125,0.26000000000000001,-0.0166168212890625,0.26000000000000001,0.51096343994140625
0.28000000000000003,0.23007965087890625,0.28000000000000003,-0.0207672119140625,0.28000000000000003,-0.02285003662109375,0.28000000000000003,-0.0166168212890625,0.28000000000000003,-0.01869964599609375,0.28000000000000003,-0.00208282470703125,0.28000000000000003,0.01453399658203125,0.28000000000000003,-0.0166168212890625,0.28000000000000003,-0.0145416259765625,0.28000000000000003,0.504730224609375
0.29999999999999999,0.23423004150390625,0.29999999999999999,-0.0186920166015625,0.29999999999999999,-0.02492523193359375,0.29999999999999999,-0.02077484130859375,0.29999999999999999,-0.0103912353515625,0.29999999999999999,-0.00830841064453125,0.29999999999999999,0.01245880126953125,0.29999999999999999,-0.00623321533203125,0.29999999999999999,-0.0145416259765625,0.29999999999999999,0.500579833984375
0.32000000000000001,0.2425384521484375,0.32000000000000001,-0.0207672119140625,0.32000000000000001,-0.0145416259765625,0.32000000000000001,-0.02077484130859375,0.32000000000000001,-0.02285003662109375,0.32000000000000001,0,0.32000000000000001,0.01245880126953125,0.32000000000000001,-0.01869964599609375,0.32000000000000001,-0.0103912353515625,0.32000000000000001,0.49227142333984375
0.34000000000000002,0.2425384521484375,0.34000000000000002,-0.0145416259765625,0.34000000000000002,-0.0166168212890625,0.34000000000000002,-0.01869964599609375,0.34000000000000002,-0.01869964599609375,0.34000000000000002,-0.00208282470703125,0.34000000000000002,0.0207672119140625,0.34000000000000002,-0.0103912353515625,0.34000000000000002,-0.00830841064453125,0.34000000000000002,0.4881134033203125
0.35999999999999999,0.2363128662109375,0.35999999999999999,-0.02492523193359375,0.35999999999999999,-0.02077484130859375,0.35999999999999999,-0.0166168212890625,0.35999999999999999,-0.0124664306640625,0.35999999999999999,0.0020751953125,0.35999999999999999,0.01453399658203125,0.35999999999999999,-0.0145416259765625,0.35999999999999999,-0.0103912353515625,0.35999999999999999,0.47357940673828125
0.38,0.2363128662109375,0.38,-0.0166168212890625,0.38,-0.027008056640625,0.38,-0.02492523193359375,0.38,-0.0103912353515625,0.38,0.004150390625,0.38,0.0166168212890625,0.38,-0.0166168212890625,0.38,-0.0103912353515625,0.38,0.47149658203125
0.40000000000000002,0.2363128662109375,0.40000000000000002,-0.0207672119140625,0.40000000000000002,-0.02285003662109375,0.40000000000000002,-0.01869964599609375,0.40000000000000002,-0.0145416259765625,,,0.40000000000000002,0.0186920166015625,0.40000000000000002,-0.00415802001953125,0.40000000000000002,-0.0103912353515625,0.40000000000000002,0.46111297607421875
0.41999999999999998,0.23423004150390625,0.41999999999999998,-0.00830841064453125,0.41999999999999998,-0.0124664306640625,0.41999999999999998,-0.02492523193359375,0.41999999999999998,-0.0145416259765625,,,0.41999999999999998,0.01453399658203125,0.41999999999999998,-0.00623321533203125,0.41999999999999998,-0.0124664306640625,0.41999999999999998,0.47565460205078125
0.44,0.2425384521484375,0.44,-0.0186920166015625,0.44,-0.0103912353515625,0.44,-0.02077484130859375,0.44,-0.0145416259765625,,,0.44,0.01245880126953125,0.44,-0.0166168212890625,0.44,-0.0145416259765625,0.44,0.4818878173828125
0.46000000000000002,0.24462127685546875,0.46000000000000002,-0.01245880126953125,0.46000000000000002,-0.0145416259765625,0.46000000000000002,-0.02077484130859375,0.46000000000000002,-0.01869964599609375,,,0.46000000000000002,0.0166168212890625,0.46000000000000002,-0.00415802001953125,0.46000000000000002,-0.00830841064453125,0.46000000000000002,0.5171966552734375
0.47999999999999998,0.2363128662109375,0.47999999999999998,-0.02285003662109375,0.47999999999999998,-0.0166168212890625,0.47999999999999998,-0.02285003662109375,0.47999999999999998,-0.0145416259765625,,,0.47999999999999998,0.0166168212890625,0.47999999999999998,-0.01869964599609375,0.47999999999999998,-0.00415802001953125,0.47999999999999998,0.52758026123046875
0.5,0.2383880615234375,0.5,-0.0166168212890625,0.5,-0.0145416259765625,0.5,-0.0145416259765625,0.5,-0.0103912353515625,,,0.5,0.01245880126953125,0.5,-0.0124664306640625,0.5,-0.0145416259765625,0.5,0.50888824462890625
0.52000000000000002,0.24669647216796875,0.52000000000000002,-0.0145416259765625,0.52000000000000002,-0.0166168212890625,0.52000000000000002,-0.01869964599609375,0.52000000000000002,-0.0145416259765625,,,0.52000000000000002,0.0062255859375,0.52000000000000002,-0.00623321533203125,0.52000000000000002,-0.0145416259765625,0.52000000000000002,0.47149658203125
0.54000000000000004,0.24877166748046875,0.54000000000000004,-0.01245880126953125,0.54000000000000004,-0.02077484130859375,0.54000000000000004,-0.01869964599609375,0.54000000000000004,-0.01869964599609375,,,0.54000000000000004,0.01453399658203125,0.54000000000000004,-0.0145416259765625,0.54000000000000004,-0.00623321533203125,0.54000000000000004,0.42580413818359375
0.56000000000000005,0.2363128662109375,0.56000000000000005,-0.0166168212890625,0.56000000000000005,-0.0145416259765625,0.56000000000000005,-0.0166168212890625,0.56000000000000005,-0.0124664306640625,,,0.56000000000000005,0.0166168212890625,0.56000000000000005,-0.0103912353515625,0.56000000000000005,-0.0124664306640625,0.56000000000000005,0.4029541015625
0.57999999999999996,0.2425384521484375,0.57999999999999996,-0.0145416259765625,0.57999999999999996,-0.01869964599609375,0.57999999999999996,-0.0124664306640625,0.57999999999999996,-0.0124664306640625,,,0.57999999999999996,0.01453399658203125,0.57999999999999996,-0.0103912353515625,0.57999999999999996,0.0020751953125,0.57999999999999996,0.405029296875
0.59999999999999998,0.2404632568359375,0.59999999999999998,-0.0166168212890625,0.59999999999999998,-0.02077484130859375,0.59999999999999998,-0.02077484130859375,0.59999999999999998,-0.0145416259765625,,,0.59999999999999998,0.0186920166015625,0.59999999999999998,-0.01869964599609375,0.59999999999999998,-0.00830841064453125,0.59999999999999998,0.405029296875
0.62,0.2363128662109375,0.62,-0.01245880126953125,0.62,-0.02077484130859375,0.62,-0.02077484130859375,0.62,-0.0166168212890625,,,0.62,0.01245880126953125,0.62,-0.0124664306640625,0.62,-0.0124664306640625,0.62,0.39257049560546875
0.64000000000000001,0.2404632568359375,0.64000000000000001,-0.0166168212890625,0.64000000000000001,-0.0166168212890625,0.64000000000000001,-0.0166168212890625,0.64000000000000001,-0.0103912353515625,,,0.64000000000000001,0.00830841064453125,0.64000000000000001,-0.0103912353515625,0.64000000000000001,-0.0103912353515625,0.64000000000000001,0.3821868896484375
0.66000000000000003,0.22800445556640625,0.66000000000000003,-0.0145416259765625,0.66000000000000003,-0.0145416259765625,0.66000000000000003,-0.01869964599609375,0.66000000000000003,-0.0103912353515625,,,0.66000000000000003,0.0186920166015625,0.66000000000000003,-0.0145416259765625,0.66000000000000003,-0.0103912353515625,0.66000000000000003,0.37595367431640625
0.68000000000000005,0.23215484619140625,0.68000000000000005,-0.0186920166015625,0.68000000000000005,-0.02285003662109375,0.68000000000000005,-0.027008056640625,0.68000000000000005,-0.0124664306640625,,,0.68000000000000005,0.0207672119140625,0.68000000000000005,-0.0145416259765625,0.68000000000000005,-0.0103912353515625,0.68000000000000005,0.37595367431640625
0.69999999999999996,0.2383880615234375,0.69999999999999996,-0.0166168212890625,0.69999999999999996,-0.0166168212890625,0.69999999999999996,-0.02492523193359375,0.69999999999999996,-0.0166168212890625,,,0.69999999999999996,0.0228424072265625,0.69999999999999996,-0.0166168212890625,0.69999999999999996,-0.0166168212890625,0.69999999999999996,0.3884124755859375
0.71999999999999997,0.2425384521484375,0.71999999999999997,-0.00830841064453125,0.71999999999999997,-0.02077484130859375,0.71999999999999997,-0.02492523193359375,0.71999999999999997,-0.0166168212890625,,,0.71999999999999997,0.0186920166015625,0.71999999999999997,-0.0103912353515625,0.71999999999999997,-0.01869964599609375,0.71999999999999997,0.432037353515625
0.73999999999999999,0.2425384521484375,0.73999999999999999,-0.0186920166015625,0.73999999999999999,-0.0166168212890625,0.73999999999999999,-0.0145416259765625,0.73999999999999999,-0.0166168212890625,,,0.73999999999999999,0.0166168212890625,0.73999999999999999,-0.00830841064453125,0.73999999999999999,-0.0124664306640625,0.73999999999999999,0.502655029296875
0.76000000000000001,0.24462127685546875,0.76000000000000001,-0.0145416259765625,0.76000000000000001,-0.02077484130859375,0.76000000000000001,-0.0166168212890625,0.76000000000000001,-0.0145416259765625,,,0.76000000000000001,0.01038360595703125,0.76000000000000001,-0.0124664306640625,0.76000000000000001,-0.0124664306640625,0.76000000000000001,0.62313079833984375
0.78000000000000003,0.2404632568359375,0.78000000000000003,-0.02285003662109375,0.78000000000000003,-0.0166168212890625,0.78000000000000003,-0.02492523193359375,0.78000000000000003,-0.0124664306640625,,,0.78000000000000003,0.01245880126953125,0.78000000000000003,-0.00830841064453125,0.78000000000000003,-0.0166168212890625,0.78000000000000003,0.73321533203125
0.80000000000000004,0.2363128662109375,0.80000000000000004,-0.02285003662109375,0.80000000000000004,-0.00830841064453125,0.80000000000000004,-0.0145416259765625,0.80000000000000004,-0.0103912353515625,,,0.80000000000000004,0.0166168212890625,0.80000000000000004,-0.0103912353515625,0.80000000000000004,-0.00830841064453125,0.80000000000000004,0.81006622314453125
0.81999999999999995,0.2404632568359375,0.81999999999999995,-0.0166168212890625,0.81999999999999995,-0.0124664306640625,0.81999999999999995,-0.02077484130859375,0.81999999999999995,-0.0166168212890625,,,0.81999999999999995,0.0228424072265625,0.81999999999999995,-0.0103912353515625,0.81999999999999995,-0.0145416259765625,0.81999999999999995,0.86822509765625
0.83999999999999997,0.23423004150390625,0.83999999999999997,-0.02700042724609375,0.83999999999999997,-0.00830841064453125,0.83999999999999997,-0.02077484130859375,0.83999999999999997,-0.0124664306640625,,,0.83999999999999997,0.0186920166015625,0.83999999999999997,-0.01869964599609375,0.83999999999999997,-0.0103912353515625,0.83999999999999997,0.87653350830078125
0.85999999999999999,0.2383880615234375,0.85999999999999999,-0.02285003662109375,0.85999999999999999,0.0228424072265625,0.85999999999999999,-0.02077484130859375,0.85999999999999999,-0.02077484130859375,,,0.85999999999999999,0.01453399658203125,0.85999999999999999,-0.0145416259765625,0.85999999999999999,-0.0124664306640625,0.85999999999999999,0.77890777587890625
0.88,0.23215484619140625,0.88,-0.0186920166015625,0.88,0.037384033203125,0.88,-0.01869964599609375,0.88,-0.0166168212890625,,,0.88,0.01245880126953125,0.88,-0.0145416259765625,0.88,-0.0124664306640625,0.88,0.6875152587890625
0.90000000000000002,0.2425384521484375,0.90000000000000002,-0.02492523193359375,0.90000000000000002,0.037384033203125,0.90000000000000002,-0.0166168212890625,0.90000000000000002,-0.0166168212890625,,,0.90000000000000002,0.01453399658203125,,,0.90000000000000002,-0.0166168212890625,0.90000000000000002,0.64597320556640625
0.92000000000000004,0.24462127685546875,0.92000000000000004,-0.02492523193359375,0.92000000000000004,0.0207672119140625,0.92000000000000004,-0.02492523193359375,0.92000000000000004,-0.0103912353515625,,,0.92000000000000004,0.0166168212890625,,,0.92000000000000004,-0.01869964599609375,0.92000000000000004,0.58989715576171875
0.93999999999999995,0.2404632568359375,0.93999999999999995,-0.0186920166015625,0.93999999999999995,0,0.93999999999999995,-0.02077484130859375,0.93999999999999995,-0.02077484130859375,,,0.93999999999999995,0.01038360595703125,,,0.93999999999999995,-0.0145416259765625,0.93999999999999995,0.52550506591796875
0.95999999999999996,0.2383880615234375,0.95999999999999996,-0.01038360595703125,0.95999999999999996,-0.00830841064453125,0.95999999999999996,-0.0166168212890625,0.95999999999999996,-0.0166168212890625,,,0.95999999999999996,0.00830841064453125,,,0.95999999999999996,-0.00415802001953125,0.95999999999999996,0.47772979736328125
0.97999999999999998,0.2383880615234375,0.97999999999999998,-0.01245880126953125,0.97999999999999998,-0.0145416259765625,0.97999999999999998,-0.02285003662109375,0.97999999999999998,-0.02077484130859375,,,0.97999999999999998,0.0186920166015625,,,0.97999999999999998,-0.02077484130859375,0.97999999999999998,0.46734619140625
1,0.2404632568359375,1,-0.0166168212890625,1,-0.0145416259765625,1,-0.01869964599609375,1,-0.0145416259765625,,,1,0.0166168212890625,,,1,-0.02077484130859375,1,0.4507293701171875
1.02,0.2363128662109375,1.02,-0.0207672119140625,1.02,-0.02077484130859375,1.02,-0.0145416259765625,1.02,-0.0145416259765625,,,1.02,0.0166168212890625,,,1.02,-0.01869964599609375,1.02,0.4507293701171875
