Data Set 1:Time(s),Data Set 1:Force G(N),Data Set 2:Time(s),Data Set 2:Force G(N),Data Set 3:Time(s),Data Set 3:Force G(N),Data Set 4:Time(s),Data Set 4:Force G(N),Data Set 5:Time(s),Data Set 5:Force G(N),,,
,,,,5.9,0.137084961,5.9,-0.020774841,5.9,0.18901062,,,
,,,,5.92,0.099700928,5.92,-0.014541626,5.92,0.213935852,,,
,,,,5.94,0.103851318,5.94,-0.020774841,5.94,0.232635498,,,
,,,,5.96,0.151626587,5.96,-0.018699646,5.96,0.222244263,,,
,,,,5.98,0.213935852,5.98,-0.012466431,5.98,0.172393799,,,
,,,,6,0.25756073,6,-0.018699646,6,0.105926514,,,
,,,,6.02,0.261711121,6.02,-0.012466431,6.02,0.045692444,,,
,,,,6.04,0.25756073,6.04,-0.016616821,6.04,0.012458801,,,
,,,,6.06,0.261711121,6.06,-0.016616821,6.06,0.004150391,,,
,,,,6.08,0.218093872,6.08,-0.020774841,6.08,0.049850464,,,
,,,,6.1,0.186935425,6.1,-0.024925232,6.1,0.089309692,,,
,,,,6.12,0.178627014,6.12,-0.020774841,6.12,0.045692444,,,
,,,,6.14,0.12046814,6.14,-0.022850037,6.14,0.008308411,,,
,,,,6.16,0.058158875,6.16,-0.020774841,6.16,-0.002082825,,,
,,,,6.18,0.014533997,6.18,-0.022850037,6.18,-0.014541626,,,
,,,,6.2,-0.008308411,6.2,-0.022850037,6.2,-0.012466431,,,
,,,,6.22,-0.00415802,6.22,-0.018699646,6.22,-0.016616821,,,
,,,,6.24,0.039459229,6.24,-0.024925232,6.24,-0.014541626,,,
,,,,6.26,0.13293457,6.26,-0.018699646,6.26,-0.012466431,,,
,,,,6.28,0.232635498,6.28,-0.016616821,6.28,-0.010391235,,,
,,,,6.3,0.276252747,6.3,-0.020774841,6.3,-0.010391235,,,
,,,,6.32,0.276252747,6.32,-0.022850037,6.32,-0.012466431,,,
,,,,6.34,0.263786316,6.34,-0.022850037,6.34,-0.014541626,,,
,,,,6.36,0.247169495,6.36,-0.018699646,6.36,-0.018699646,,,
,,,,6.38,0.224327087,6.38,-0.018699646,6.38,-0.014541626,,,
,,,,6.4,0.209785461,6.4,-0.022850037,6.4,-0.016616821,,,
,,,,6.42,0.199401855,6.42,-0.020774841,6.42,-0.014541626,,,
,,,,6.44,0.191093445,6.44,-0.020774841,6.44,-0.014541626,,,
,,,,6.46,0.182785034,6.46,-0.018699646,6.46,-0.012466431,,,
,,,,6.48,0.191093445,6.48,-0.010391235,6.48,-0.006233215,,,
,,,,6.5,0.18901062,6.5,-0.012466431,6.5,0.101776123,,,
,,,,6.52,0.166168213,6.52,-0.020774841,6.52,0.249252319,,,
,,,,6.54,0.112159729,6.54,-0.014541626,6.54,0.342720032,,,
,,,,6.56,0.039459229,6.56,-0.027008057,6.56,0.434112549,,,
,,,,6.58,0,6.58,-0.022850037,6.58,0.519271851,,,
,,,,6.6,-0.012466431,6.6,-0.024925232,6.6,0.567047119,,,
,,,,6.62,-0.020774841,6.62,-0.020774841,6.62,0.573280334,,,
,,,,6.64,-0.020774841,6.64,-0.024925232,6.64,0.560813904,,,
,,,,6.66,-0.027008057,6.66,-0.020774841,6.66,0.540046692,,,
,,,,6.68,-0.016616821,6.68,-0.020774841,6.68,0.488113403,,,
,,,,6.7,-0.018699646,6.7,-0.016616821,6.7,0.398803711,,,
,,,,6.72,-0.022850037,6.72,-0.020774841,6.72,0.330253601,,,
,,,,6.74,-0.020774841,6.74,-0.012466431,6.74,0.259635925,,,
,,,,6.76,-0.020774841,6.76,-0.020774841,6.76,0.216018677,,,
,,,,6.78,-0.020774841,6.78,-0.016616821,6.78,0.19316864,,,
,,,,6.8,-0.024925232,6.8,-0.020774841,6.8,0.151626587,,,
,,,,6.82,-0.022850037,6.82,-0.027008057,6.82,0.139160156,,,
,,,,6.84,-0.022850037,6.84,-0.020774841,6.84,0.12046814,,,
,,,,6.86,-0.024925232,6.86,-0.020774841,6.86,0.093467712,,,
,,,,6.88,-0.027008057,6.88,-0.020774841,6.88,0.049850464,,,
,,,,6.9,-0.027008057,6.9,-0.027008057,6.9,0.012458801,,,
,,,,6.92,-0.020774841,6.92,-0.020774841,6.92,-0.002082825,,,
,,,,6.94,-0.027008057,6.94,-0.024925232,6.94,-0.008308411,,,
,,,,6.96,-0.022850037,6.96,-0.024925232,6.96,-0.012466431,,,
,,,,6.98,-0.029083252,6.98,-0.020774841,6.98,-0.018699646,,,
,,,,7,-0.027008057,7,-0.020774841,7,-0.012466431,,,
,,,,7.02,-0.024925232,7.02,-0.018699646,7.02,-0.010391235,,,
,,,,7.04,-0.033233643,7.04,-0.024925232,7.04,-0.014541626,,,
,,,,7.06,-0.022850037,7.06,-0.018699646,7.06,-0.006233215,,,
,,,,7.08,-0.024925232,7.08,-0.024925232,7.08,-0.012466431,,,
,,,,7.1,-0.022850037,7.1,-0.020774841,7.1,-0.018699646,,,
,,,,7.12,-0.024925232,7.12,-0.014541626,7.12,-0.020774841,,,
,,,,7.14,-0.020774841,7.14,-0.022850037,7.14,-0.008308411,,,
,,,,7.16,-0.022850037,7.16,-0.016616821,7.16,-0.016616821,,,
,,,,7.18,-0.029083252,7.18,-0.018699646,7.18,-0.010391235,,,
,,,,7.2,-0.022850037,7.2,-0.016616821,7.2,-0.010391235,,,
,,,,7.22,-0.027008057,7.22,-0.020774841,7.22,-0.010391235,,,
,,,,7.24,-0.016616821,7.24,-0.024925232,7.24,-0.00415802,,,
,,,,7.26,-0.022850037,7.26,-0.020774841,7.26,-0.016616821,,,
,,,,7.28,-0.031158447,7.28,-0.018699646,7.28,-0.014541626,,,
,,,,7.3,-0.029083252,7.3,-0.018699646,7.3,-0.008308411,,,
,,,,7.32,-0.029083252,7.32,-0.018699646,7.32,-0.008308411,,,
,,,,7.34,-0.024925232,7.34,-0.012466431,7.34,-0.010391235,,,
,,,,7.36,-0.014541626,7.36,-0.012466431,7.36,-0.008308411,,,
,,,,7.38,-0.018699646,7.38,-0.020774841,7.38,-0.020774841,,,
,,,,7.4,-0.020774841,7.4,-0.020774841,7.4,-0.016616821,,,
,,,,7.42,-0.020774841,7.42,-0.027008057,7.42,-0.018699646,,,
,,,,7.44,-0.020774841,7.44,-0.014541626,7.44,-0.016616821,,,
,,,,7.46,-0.027008057,7.46,-0.016616821,7.46,-0.010391235,,,
,,,,7.48,-0.020774841,7.48,-0.020774841,7.48,-0.010391235,,,
,,,,7.5,-0.027008057,7.5,-0.018699646,7.5,-0.014541626,,,
,,,,7.52,-0.018699646,7.52,-0.020774841,7.52,-0.014541626,,,
,,,,7.54,-0.024925232,7.54,-0.024925232,7.54,-0.014541626,,,
,,,,7.56,-0.016616821,7.56,-0.018699646,7.56,-0.016616821,,,
,,,,7.58,-0.027008057,7.58,-0.020774841,7.58,-0.020774841,,,
,,,,7.6,-0.024925232,7.6,-0.014541626,7.6,-0.020774841,,,
,,,,7.62,-0.022850037,7.62,-0.018699646,7.62,-0.018699646,,,
,,,,7.64,-0.020774841,7.64,-0.016616821,7.64,-0.014541626,,,
,,,,7.66,-0.027008057,7.66,-0.024925232,7.66,-0.006233215,,,
,,,,7.68,-0.018699646,7.68,-0.012466431,7.68,-0.012466431,,,
,,,,7.7,-0.018699646,7.7,-0.014541626,7.7,-0.016616821,,,
,,,,7.72,-0.020774841,7.72,-0.018699646,7.72,-0.018699646,,,
,,,,7.74,-0.018699646,7.74,-0.018699646,7.74,-0.024925232,,,
,,,,7.76,-0.022850037,7.76,-0.020774841,7.76,-0.014541626,,,
,,,,7.78,-0.018699646,7.78,-0.014541626,7.78,-0.018699646,,,
,,,,7.8,-0.020774841,7.8,-0.014541626,7.8,-0.020774841,,,
,,,,7.82,-0.020774841,7.82,-0.022850037,7.82,-0.020774841,,,
,,,,7.84,-0.018699646,7.84,-0.014541626,7.84,-0.012466431,,,
,,,,7.86,-0.020774841,7.86,-0.018699646,7.86,-0.008308411,,,
,,,,7.88,-0.016616821,7.88,-0.016616821,7.88,-0.018699646,,,
,,,,7.9,-0.008308411,7.9,-0.010391235,7.9,-0.016616821,,,
,,,,7.92,-0.016616821,7.92,-0.016616821,7.92,-0.020774841,,,
,,,,7.94,-0.012466431,7.94,-0.014541626,7.94,-0.016616821,,,
,,,,7.96,-0.020774841,7.96,-0.014541626,7.96,-0.016616821,,,
,,,,7.98,-0.018699646,7.98,-0.012466431,7.98,-0.020774841,,,
,,,,8,-0.024925232,8,-0.012466431,8,-0.016616821,,,
,,,,8.02,-0.018699646,8.02,-0.014541626,8.02,-0.016616821,,,
,,,,8.04,-0.022850037,8.04,-0.016616821,8.04,-0.016616821,,,
,,,,8.06,-0.018699646,8.06,-0.020774841,8.06,-0.018699646,,,
,,,,8.08,-0.020774841,8.08,-0.010391235,8.08,-0.020774841,,,
,,,,8.1,-0.020774841,8.1,-0.014541626,8.1,-0.024925232,,,
,,,,8.12,-0.014541626,8.12,-0.012466431,8.12,-0.018699646,,,
,,,,8.14,-0.016616821,8.14,-0.012466431,8.14,-0.016616821,,,
,,,,8.16,-0.018699646,8.16,-0.014541626,8.16,-0.012466431,,,
,,,,8.18,-0.016616821,8.18,-0.012466431,8.18,0.051925659,,,
,,,,8.2,-0.024925232,8.2,-0.010391235,8.2,0.118392944,,,
,,,,8.22,-0.016616821,8.22,-0.010391235,8.22,0.155776978,,,
,,,,8.24,-0.022850037,8.24,-0.010391235,8.24,0.205627441,,,
,,,,8.26,-0.016616821,8.26,-0.014541626,8.26,0.259635925,,,
,,,,8.28,-0.012466431,8.28,-0.020774841,8.28,0.288711548,,,
,,,,8.3,-0.014541626,8.3,-0.024925232,8.3,0.294944763,,,
,,,,8.32,-0.020774841,8.32,-0.014541626,8.32,0.301177979,,,
,,,,8.34,-0.014541626,8.34,-0.014541626,8.34,0.301177979,,,
,,,,8.36,-0.014541626,8.36,-0.014541626,8.36,0.305328369,,,
,,,,8.38,-0.016616821,8.38,-0.012466431,8.38,0.307411194,,,
,,,,8.4,-0.027008057,8.4,-0.014541626,8.4,0.288711548,,,
,,,,8.42,-0.024925232,8.42,-0.018699646,8.42,0.276252747,,,
,,,,8.44,-0.029083252,8.44,-0.018699646,8.44,0.278327942,,,
,,,,8.46,-0.024925232,8.46,-0.018699646,8.46,0.278327942,,,
,,,,8.48,-0.027008057,8.48,-0.016616821,8.48,0.294944763,,,
,,,,8.5,-0.035316467,8.5,-0.020774841,8.5,0.32610321,,,
,,,,8.52,-0.031158447,8.52,-0.018699646,8.52,0.365570068,,,
,,,,8.54,-0.018699646,8.54,-0.018699646,8.54,0.409187317,,,
,,,,8.56,-0.029083252,8.56,-0.014541626,8.56,0.448654175,,,
,,,,8.58,-0.027008057,8.58,-0.014541626,8.58,0.471496582,,,
,,,,8.6,-0.020774841,8.6,-0.016616821,8.6,0.452804565,,,
,,,,8.62,-0.020774841,8.62,-0.018699646,8.62,0.440345764,,,
,,,,8.64,-0.027008057,8.64,-0.022850037,8.64,0.444496155,,,
,,,,8.66,-0.018699646,8.66,-0.020774841,8.66,0.436187744,,,
,,,,8.68,-0.029083252,8.68,-0.020774841,8.68,0.413337708,,,
,,,,8.7,-0.024925232,8.7,-0.016616821,8.7,0.384262085,,,
,,,,8.72,-0.027008057,8.72,-0.018699646,8.72,0.346870422,,,
,,,,8.74,-0.027008057,8.74,-0.020774841,8.74,0.305328369,,,
,,,,8.76,-0.027008057,8.76,-0.020774841,8.76,0.259635925,,,
,,,,8.78,-0.024925232,8.78,-0.016616821,8.78,0.203552246,,,
,,,,8.8,-0.022850037,8.8,-0.024925232,8.8,0.155776978,,,
,,,,8.82,-0.022850037,8.82,-0.024925232,8.82,0.087234497,,,
,,,,8.84,-0.018699646,8.84,-0.020774841,8.84,0.022842407,,,
,,,,8.86,-0.024925232,8.86,-0.018699646,8.86,0,,,
,,,,8.88,-0.022850037,8.88,-0.016616821,8.88,-0.012466431,,,
,,,,8.9,-0.018699646,8.9,-0.020774841,8.9,-0.014541626,,,
,,,,8.92,-0.024925232,8.92,-0.020774841,8.92,-0.012466431,,,
,,,,8.94,-0.020774841,8.94,-0.010391235,8.94,-0.014541626,,,
,,,,8.96,-0.022850037,8.96,-0.020774841,8.96,-0.010391235,,,
,,,,8.98,-0.024925232,8.98,-0.022850037,8.98,-0.008308411,,,
,,,,9,-0.020774841,9,-0.027008057,9,-0.012466431,,,
,,,,9.02,-0.022850037,9.02,-0.022850037,9.02,-0.014541626,,,
,,,,9.04,-0.020774841,9.04,-0.020774841,9.04,-0.014541626,,,
,,,,9.06,-0.020774841,9.06,-0.027008057,9.06,-0.014541626,,,
,,,,9.08,-0.016616821,9.08,-0.022850037,9.08,-0.018699646,,,
,,,,9.1,-0.024925232,9.1,-0.027008057,9.1,-0.012466431,,,
,,,,9.12,-0.020774841,9.12,-0.020774841,9.12,-0.016616821,,,
,,,,9.14,-0.022850037,9.14,-0.020774841,9.14,-0.018699646,,,
,,,,9.16,-0.020774841,9.16,-0.018699646,9.16,-0.020774841,,,
,,,,9.18,-0.027008057,9.18,-0.020774841,9.18,-0.016616821,,,
,,,,9.2,-0.029083252,9.2,-0.020774841,9.2,-0.016616821,,,
,,,,9.22,-0.022850037,9.22,-0.022850037,9.22,-0.014541626,,,
,,,,9.24,-0.018699646,9.24,-0.022850037,9.24,-0.016616821,,,
,,,,9.26,-0.018699646,9.26,-0.020774841,9.26,-0.012466431,,,
,,,,9.28,-0.024925232,9.28,-0.018699646,9.28,-0.008308411,,,
,,,,9.3,-0.020774841,9.3,-0.022850037,9.3,-0.010391235,,,
,,,,9.32,-0.027008057,9.32,-0.016616821,9.32,-0.012466431,,,
,,,,9.34,-0.024925232,9.34,-0.018699646,9.34,-0.010391235,,,
,,,,9.36,-0.022850037,9.36,-0.027008057,9.36,-0.020774841,,,
,,,,9.38,-0.022850037,9.38,-0.020774841,9.38,-0.016616821,,,
,,,,9.4,-0.020774841,9.4,-0.018699646,9.4,-0.010391235,,,
,,,,9.42,-0.024925232,9.42,-0.022850037,9.42,-0.014541626,,,
,,,,9.44,-0.020774841,9.44,-0.018699646,9.44,-0.024925232,,,
,,,,9.46,-0.024925232,9.46,-0.020774841,9.46,-0.014541626,,,
,,,,9.48,-0.027008057,9.48,-0.014541626,9.48,-0.008308411,,,
,,,,9.5,-0.020774841,9.5,-0.022850037,9.5,-0.020774841,,,
,,,,9.52,-0.022850037,9.52,-0.018699646,9.52,-0.010391235,,,
,,,,9.54,-0.020774841,9.54,-0.020774841,9.54,-0.014541626,,,
,,,,9.56,-0.024925232,9.56,-0.020774841,9.56,-0.014541626,,,
,,,,9.58,-0.024925232,9.58,-0.008308411,9.58,-0.010391235,,,
,,,,9.6,-0.024925232,9.6,-0.010391235,9.6,-0.018699646,,,
,,,,9.62,-0.022850037,9.62,-0.014541626,9.62,-0.012466431,,,
,,,,9.64,-0.024925232,9.64,-0.020774841,9.64,-0.022850037,,,
,,,,9.66,-0.024925232,9.66,-0.024925232,9.66,-0.010391235,,,
,,,,9.68,-0.024925232,9.68,-0.022850037,9.68,-0.020774841,,,
,,,,9.7,-0.022850037,9.7,-0.022850037,9.7,-0.018699646,,,
,,,,9.72,-0.020774841,9.72,-0.027008057,9.72,-0.020774841,,,
,,,,9.74,-0.027008057,9.74,-0.031158447,9.74,-0.016616821,,,
,,,,9.76,-0.022850037,9.76,-0.020774841,9.76,-0.014541626,,,
,,,,9.78,-0.029083252,9.78,-0.020774841,9.78,-0.014541626,,,
,,,,9.8,-0.020774841,9.8,-0.022850037,9.8,-0.014541626,,,
,,,,9.82,-0.024925232,9.82,-0.020774841,9.82,-0.014541626,,,
,,,,9.84,-0.029083252,9.84,-0.024925232,9.84,-0.012466431,,,
,,,,9.86,-0.031158447,9.86,-0.027008057,9.86,-0.014541626,,,
,,,,9.88,-0.020774841,9.88,-0.020774841,9.88,-0.018699646,,,
,,,,9.9,-0.018699646,9.9,-0.014541626,9.9,-0.016616821,,,
,,,,9.92,-0.020774841,9.92,-0.029083252,9.92,-0.016616821,,,
,,,,9.94,-0.020774841,9.94,-0.024925232,9.94,-0.014541626,,,
,,,,9.96,-0.022850037,9.96,-0.024925232,9.96,-0.014541626,,,
,,,,9.98,-0.024925232,9.98,-0.016616821,9.98,-0.012466431,,,
,,,,10,-0.022850037,10,-0.014541626,10,-0.016616821,,,
,,,,10.02,-0.027008057,10.02,-0.022850037,10.02,-0.010391235,,,
,,,,10.04,-0.024925232,10.04,-0.014541626,10.04,-0.008308411,,,
,,,,10.06,-0.024925232,10.06,-0.020774841,10.06,-0.014541626,,,
,,,,10.08,-0.022850037,10.08,-0.016616821,10.08,-0.016616821,,,
,,,,10.1,-0.022850037,10.1,-0.018699646,10.1,-0.010391235,,,
,,,,10.12,-0.029083252,10.12,-0.022850037,10.12,-0.012466431,,,
,,,,10.14,-0.027008057,10.14,-0.031158447,10.14,-0.014541626,,,
,,,,10.16,-0.022850037,10.16,-0.016616821,10.16,-0.016616821,,,
,,,,10.18,-0.018699646,10.18,-0.018699646,10.18,-0.016616821,,,
,,,,10.2,-0.018699646,10.2,-0.027008057,10.2,-0.020774841,,,
,,,,10.22,-0.029083252,10.22,-0.020774841,10.22,-0.014541626,,,
,,,,10.24,-0.018699646,10.24,-0.014541626,10.24,-0.012466431,,,
,,,,10.26,-0.016616821,10.26,-0.014541626,10.26,-0.010391235,,,
,,,,10.28,-0.022850037,10.28,-0.020774841,10.28,-0.006233215,,,
,,,,10.3,-0.022850037,,,10.3,-0.008308411,,,
,,,,10.32,-0.018699646,,,10.32,-0.014541626,,,
,,,,10.34,-0.022850037,,,10.34,-0.012466431,,,
,,,,10.36,-0.022850037,,,10.36,-0.010391235,,,
,,,,10.38,-0.020774841,,,10.38,-0.012466431,,,
,,,,10.4,-0.022850037,,,10.4,-0.014541626,,,
,,,,10.42,-0.020774841,,,10.42,-0.016616821,,,
,,,,10.44,-0.031158447,,,10.44,-0.012466431,,,
,,,,10.46,-0.022850037,,,10.46,-0.018699646,,,
,,,,10.48,-0.024925232,,,10.48,-0.022850037,,,
,,,,,,,,10.5,-0.018699646,,,
,,,,,,,,10.52,-0.016616821,,,
,,,,,,,,10.54,-0.010391235,,,
,,,,,,,,10.56,-0.010391235,,,
,,,,,,,,10.58,-0.008308411,,,
,,,,,,,,10.6,-0.014541626,,,
,,,,,,,,10.62,-0.014541626,,,
,,,,,,,,10.64,-0.016616821,,,
,,,,,,,,10.66,-0.008308411,,,
,,,,,,,,10.68,-0.012466431,,,
,,,,,,,,10.7,-0.012466431,,,
,,,,,,,,10.72,-0.012466431,,,
,,,,,,,,10.74,-0.016616821,,,
,,,,,,,,10.76,-0.010391235,,,
,,,,,,,,10.78,-0.016616821,,,
,,,,,,,,10.8,-0.008308411,,,
,,,,,,,,10.82,-0.012466431,,,
,,,,,,,,10.84,-0.016616821,,,
,,,,,,,,10.86,-0.010391235,,,
,,,,,,,,10.88,0,,,
,,,,,,,,10.9,0.047767639,,,
,,,,,,,,10.92,0.097618103,,,
,,,,,,,,10.94,0.13293457,,,
,,,,,,,,10.96,0.145393372,,,
,,,,,,,,10.98,0.157859802,,,
,,,,,,,,11,0.222244263,,,
,,,,,,,,11.02,0.353103638,,,
,,,,,,,,11.04,0.521347046,,,
,,,,,,,,11.06,0.633514404,,,
,,,,,,,,11.08,0.683364868,,,
,,,,,,,,11.1,0.691673279,,,
,,,,,,,,11.12,0.766448975,,,
,,,,,,,,11.14,0.911842346,,,
,,,,,,,,11.16,1.011543274,,,
,,,,,,,,11.18,1.055168152,,,
,,,,,,,,11.2,1.078010559,,,
,,,,,,,,11.22,1.125785828,,,
,,,,,,,,11.24,1.179794312,,,
,,,,,,,,11.26,1.237953186,,,
,,,,,,,,11.28,1.298187256,,,
,,,,,,,,11.3,1.368804932,,,
,,,,,,,,11.32,1.439430237,,,
,,,,,,,,11.34,1.491355896,,,
,,,,,,,,11.36,1.526664734,,,
,,,,,,,,11.38,1.591056824,,,
,,,,,,,,11.4,1.657524109,,,
,,,,,,,,11.42,1.713607788,,,
,,,,,,,,11.44,1.742683411,,,
,,,,,,,,11.46,1.790458679,,,
,,,,,,,,11.48,1.86730957,,,
,,,,,,,,11.5,1.975318909,,,
,,,,,,,,11.52,2.031402588,,,
,,,,,,,,11.54,2.05632782,,,
,,,,,,,,11.56,2.143569946,,,
,,,,,,,,11.58,2.207954407,,,
,,,,,,,,11.6,2.195495605,,,
,,,,,,,,11.62,2.141487122,,,
,,,,,,,,11.64,2.1248703,,,
,,,,,,,,11.66,2.106178284,,,
,,,,,,,,11.68,1.964935303,,,
,,,,,,,,11.7,1.67414093,,,
,,,,,,,,11.72,1.358421326,,,
,,,,,,,,11.74,1.217178345,,,
,,,,,,,,11.76,1.289878845,,,
,,,,,,,,11.78,1.375038147,,,
,,,,,,,,11.8,1.262878418,,,
,,,,,,,,11.82,1.024009705,,,
,,,,,,,,11.84,0.814224243,,,
,,,,,,,,11.86,0.685440063,,,
,,,,,,,,11.88,0.660514832,,,
,,,,,,,,11.9,0.697906494,,,
,,,,,,,,11.92,0.677131653,,,
,,,,,,,,11.94,0.554580688,,,
,,,,,,,,11.96,0.432037354,,,
,,,,,,,,11.98,0.384262085,,,
,,,,,,,,12,0.367645264,,,
,,,,,,,,12.02,0.338562012,,,
,,,,,,,,12.04,0.280403137,,,
,,,,,,,,12.06,0.278327942,,,
,,,,,,,,12.08,0.305328369,,,
,,,,,,,,12.1,0.353103638,,,
,,,,,,,,12.12,0.427879333,,,
,,,,,,,,12.14,0.477729797,,,
,,,,,,,,12.16,0.465270996,,,
,,,,,,,,12.18,0.529655457,,,
,,,,,,,,12.2,0.670898438,,,
,,,,,,,,12.22,0.845375061,,,
,,,,,,,,12.24,1.034393311,,,
,,,,,,,,12.26,1.248336792,,,
,,,,,,,,12.28,1.464355469,,,
,,,,,,,,12.3,1.593132019,,,
,,,,,,,,12.32,1.638832092,,,
,,,,,,,,12.34,1.645065308,,,
,,,,,,,,12.36,1.647140503,,,
,,,,,,,,12.38,1.61390686,,,
,,,,,,,,12.4,1.543281555,,,
,,,,,,,,12.42,1.375038147,,,
,,,,,,,,12.44,1.156944275,,,
,,,,,,,,12.46,0.922233582,,,
,,,,,,,,12.48,0.745674133,,,
,,,,,,,,12.5,0.64805603,,,
,,,,,,,,12.52,0.585739136,,,
,,,,,,,,12.54,0.587814331,,,
,,,,,,,,12.56,0.614822388,,,
,,,,,,,,12.58,0.552505493,,,
,,,,,,,,12.6,0.411262512,,,
,,,,,,,,12.62,0.284561157,,,
,,,,,,,,12.64,0.19316864,,,
,,,,,,,,12.66,0.122543335,,,
,,,,,,,,12.68,0.06438446,,,
,,,,,,,,12.7,0.043617249,,,
,,,,,,,,12.72,0.070617676,,,
,,,,,,,,12.74,0.116317749,,,
,,,,,,,,12.76,0.228477478,,,
,,,,,,,,12.78,0.375953674,,,
,,,,,,,,12.8,0.519271851,,,
,,,,,,,,12.82,0.625205994,,,
,,,,,,,,12.84,0.666748047,,,
,,,,,,,,12.86,0.691673279,,,
,,,,,,,,12.88,0.712440491,,,
,,,,,,,,12.9,0.762290955,,,
,,,,,,,,12.92,0.799682617,,,
,,,,,,,,12.94,0.789299011,,,
,,,,,,,,12.96,0.739448547,,,
,,,,,,,,12.98,0.664672852,,,
,,,,,,,,13,0.637664795,,,
,,,,,,,,13.02,0.6355896,,,
,,,,,,,,13.04,0.652206421,,,
,,,,,,,,13.06,0.591972351,,,
,,,,,,,,13.08,0.434112549,,,
,,,,,,,,13.1,0.276252747,,,
,,,,,,,,13.12,0.180702209,,,
,,,,,,,,13.14,0.197319031,,,
,,,,,,,,13.16,0.282485962,,,
,,,,,,,,13.18,0.3904953,,,
,,,,,,,,13.2,0.517196655,,,
,,,,,,,,13.22,0.660514832,,,
,,,,,,,,13.24,0.77268219,,,
,,,,,,,,13.26,0.799682617,,,
,,,,,,,,13.28,0.826683044,,,
,,,,,,,,13.3,0.899383545,,,
,,,,,,,,13.32,1.007392883,,,
,,,,,,,,13.34,1.140327454,,,
,,,,,,,,13.36,1.258720398,,,
,,,,,,,,13.38,1.329345703,,,
,,,,,,,,13.4,1.393730164,,,
,,,,,,,,13.42,1.47681427,,,
,,,,,,,,13.44,1.534973145,,,
,,,,,,,,13.46,1.522514343,,,
,,,,,,,,13.48,1.485122681,,,
,,,,,,,,13.5,1.402038574,,,
,,,,,,,,13.52,1.291954041,,,
,,,,,,,,13.54,1.246261597,,,
,,,,,,,,13.56,1.240028381,,,
,,,,,,,,13.58,1.233795166,,,
,,,,,,,,13.6,1.235870361,,,
,,,,,,,,13.62,1.244178772,,,
,,,,,,,,13.64,1.277412415,,,
,,,,,,,,13.66,1.298187256,,,
,,,,,,,,13.68,1.279495239,,,
,,,,,,,,13.7,1.248336792,,,
,,,,,,,,13.72,1.190177917,,,
,,,,,,,,13.74,1.0987854,,,
,,,,,,,,13.76,0.947158813,,,
,,,,,,,,13.78,0.851608276,,,
,,,,,,,,13.8,0.861991882,,,
,,,,,,,,13.82,0.940925598,,,
,,,,,,,,13.84,1.036468506,,,
,,,,,,,,13.86,1.109169006,,,
,,,,,,,,13.88,1.173561096,,,
,,,,,,,,13.9,1.202636719,,,
,,,,,,,,13.92,1.173561096,,,
,,,,,,,,13.94,1.109169006,,,
,,,,,,,,13.96,1.09047699,,,
,,,,,,,,13.98,1.144477844,,,
,,,,,,,,14,1.167327881,,,
,,,,,,,,14.02,1.138252258,,,
,,,,,,,,14.04,1.102935791,,,
,,,,,,,,14.06,1.09047699,,,
,,,,,,,,14.08,1.055168152,,,
,,,,,,,,14.1,0.940925598,,,
,,,,,,,,14.12,0.824607849,,,
,,,,,,,,14.14,0.735290527,,,
,,,,,,,,14.16,0.668823242,,,
,,,,,,,,14.18,0.596122742,,,
,,,,,,,,14.2,0.554580688,,,
,,,,,,,,14.22,0.537963867,,,
,,,,,,,,14.24,0.525505066,,,
,,,,,,,,14.26,0.502655029,,,
,,,,,,,,14.28,0.461112976,,,
,,,,,,,,14.3,0.392570496,,,
,,,,,,,,14.32,0.371795654,,,
,,,,,,,,14.34,0.392570496,,,
,,,,,,,,14.36,0.411262512,,,
,,,,,,,,14.38,0.3904953,,,
,,,,,,,,14.4,0.309486389,,,
,,,,,,,,14.42,0.211860657,,,
,,,,,,,,14.44,0.112159729,,,
,,,,,,,,14.46,0.039459229,,,
,,,,,,,,14.48,0.010383606,,,
,,,,,,,,14.5,-0.002082825,,,
,,,,,,,,14.52,-0.014541626,,,
,,,,,,,,14.54,-0.012466431,,,
,,,,,,,,14.56,-0.016616821,,,
,,,,,,,,14.58,-0.010391235,,,
,,,,,,,,14.6,-0.012466431,,,
,,,,,,,,14.62,-0.010391235,,,
,,,,,,,,14.64,-0.012466431,,,
,,,,,,,,14.66,-0.008308411,,,
,,,,,,,,14.68,-0.010391235,,,
,,,,,,,,14.7,-0.012466431,,,
,,,,,,,,14.72,-0.016616821,,,
,,,,,,,,14.74,-0.006233215,,,
,,,,,,,,14.76,-0.006233215,,,
,,,,,,,,14.78,-0.014541626,,,
,,,,,,,,14.8,-0.016616821,,,
,,,,,,,,14.82,-0.014541626,,,
,,,,,,,,14.84,-0.010391235,,,
,,,,,,,,14.86,-0.006233215,,,
,,,,,,,,14.88,-0.012466431,,,
,,,,,,,,14.9,-0.010391235,,,
,,,,,,,,14.92,-0.014541626,,,
,,,,,,,,14.94,-0.016616821,,,
,,,,,,,,14.96,-0.016616821,,,
,,,,,,,,14.98,-0.012466431,,,
,,,,,,,,15,-0.014541626,,,
,,,,,,,,15.02,-0.014541626,,,
,,,,,,,,15.04,-0.016616821,,,
,,,,,,,,15.06,-0.016616821,,,
,,,,,,,,15.08,-0.008308411,,,
,,,,,,,,15.1,-0.010391235,,,
