Data Set 1:Time(s),Data Set 1:Force G(N),Data Set 2:Time(s),Data Set 2:Force G(N),Data Set 3:Time(s),Data Set 3:Force G(N),,,,,1.248336792
10.8,-0.029083252,,,,,,,,,
10.82,-0.031158447,,,,,,,,,
10.84,-0.033233643,,,,,,,,,
10.86,-0.031158447,,,,,,,,,
10.88,-0.033233643,,,,,,,,,
10.9,-0.033233643,,,,,,,,,
10.92,-0.029083252,,,,,,,,,
10.94,-0.041542053,,,,,,,,,
10.96,-0.031158447,,,,,,,,,
10.98,-0.031158447,,,,,,,,,
11,-0.027008057,,,,,,,,,
11.02,-0.031158447,,,,,,,,,
11.04,-0.037391663,,,,,,,,,
11.06,-0.035316467,,,,,,,,,
11.08,-0.024925232,,,,,,,,,
11.1,-0.031158447,,,,,,,,,
11.12,-0.031158447,,,,,,,,,
11.14,-0.031158447,,,,,,,,,
11.16,-0.035316467,,,,,,,,,
11.18,-0.037391663,,,,,,,,,
11.2,-0.031158447,,,,,,,,,
11.22,-0.029083252,,,,,,,,,
11.24,-0.029083252,,,,,,,,,
11.26,-0.029083252,,,,,,,,,
11.28,-0.031158447,,,,,,,,,
11.3,-0.031158447,,,,,,,,,
11.32,-0.033233643,,,,,,,,,
11.34,-0.033233643,,,,,,,,,
11.36,-0.031158447,,,,,,,,,
11.38,-0.037391663,,,,,,,,,
11.4,-0.031158447,,,,,,,,,
11.42,-0.031158447,,,,,,,,,
11.44,-0.031158447,,,,,,,,,
11.46,-0.031158447,,,,,,,,,
11.48,-0.031158447,,,,,,,,,
11.5,-0.033233643,,,,,,,,,
11.52,-0.033233643,,,,,,,,,
11.54,-0.029083252,,,,,,,,,
11.56,-0.029083252,,,,,,,,,
11.58,-0.031158447,,,,,,,,,
11.6,-0.037391663,,,,,,,,,
11.62,-0.031158447,,,,,,,,,
11.64,-0.029083252,,,,,,,,,
11.66,-0.031158447,,,,,,,,,
11.68,-0.029083252,,,,,,,,,
11.7,-0.031158447,,,,,,,,,
11.72,-0.031158447,,,,,,,,,
11.74,-0.031158447,,,,,,,,,
11.76,-0.029083252,,,,,,,,,
11.78,-0.029083252,,,,,,,,,
11.8,-0.029083252,,,,,,,,,
11.82,-0.033233643,,,,,,,,,
11.84,-0.029083252,,,,,,,,,
11.86,-0.035316467,,,,,,,,,
11.88,-0.031158447,,,,,,,,,
11.9,-0.031158447,,,,,,,,,
11.92,-0.031158447,,,,,,,,,
11.94,-0.033233643,,,,,,,,,
11.96,-0.029083252,,,,,,,,,
11.98,-0.033233643,,,,,,,,,
12,-0.027008057,,,,,,,,,
12.02,-0.033233643,,,,,,,,,
12.04,-0.035316467,,,,,,,,,
12.06,-0.035316467,,,,,,,,,
12.08,-0.033233643,,,,,,,,,
12.1,-0.035316467,,,,,,,,,
12.12,-0.035316467,,,,,,,,,
12.14,-0.029083252,,,,,,,,,
12.16,-0.031158447,,,,,,,,,
12.18,-0.031158447,,,,,,,,,
12.2,-0.033233643,,,,,,,,,
12.22,-0.031158447,,,,,,,,,
12.24,-0.031158447,,,,,,,,,
12.26,-0.031158447,,,,,,,,,
12.28,-0.031158447,,,,,,,,,
12.3,-0.039466858,,,,,,,,,
12.32,-0.029083252,,,,,,,,,
12.34,-0.033233643,,,,,,,,,
12.36,-0.035316467,,,,,,,,,
12.38,-0.031158447,,,,,,,,,
