S1_Pre,S1_T1,S1_T2,S1_T3,S1_T4,S1_T5,S1_T5_V2,S2_Pre,S2_T1,S2_T2,S2_T3,S2_T4,S2_T5,S3_Pre,S3_T1,S3_T2,S3_T3,S3_T4,S3_T5,S4_Pre,S4_T1_V2,S4_T2,S4_T3,S4_T4,S4_T5,Time
-0.018692017,-0.020767212,0.002075195,-0.020767212,-0.02285,0.506813049,-0.022850037,-0.012466431,-0.029083252,-0.035308838,-0.033233643,-0.024925232,-0.00415802,0.473579407,-0.0145416,-0.035308838,0.002075195,0.006233215,0.006233215,0.006233215,0.085159302,0.004150391,0.010391235,0.008308411,0.006233215,0.36
-0.018692017,-0.020767212,5.55E-17,-0.024925232,-0.0249252,0.523429871,-0.024925232,-0.010391235,-0.027008057,-0.039466858,-0.033233643,-0.020774841,0.002075195,0.471496582,-0.0041504,-0.039466858,-0.00415802,0.006233215,0.002075195,0.008308411,0.097625732,0.004150391,0.010391235,0.008308411,0.008308411,0.38
-0.012458801,-0.022850037,0.004150391,-0.020767212,-0.0249252,0.552505493,-0.018692017,-0.014541626,-0.024925232,-0.033233643,-0.027000427,-0.024925232,-0.002082825,0.461112976,-0.0083084,-0.033233643,0.002075195,0,0.008308411,0.010383606,0.095550537,0.014533997,0.006233215,0.00415802,0.00415802,0.4
-0.020767212,-0.020767212,0.002075195,-0.024925232,-0.018692,0.569122314,-0.020767212,-0.014541626,-0.024925232,-0.039466858,-0.033233643,-0.037391663,0,0.475654602,-0.0207672,-0.039466858,0.008308411,0.00415802,-0.002075195,0.010383606,0.103858948,0.004150391,0.006233215,0.008308411,0.00415802,0.42
-0.012458801,-0.016616821,-0.00415802,-0.022842407,-0.0062332,0.585739136,-0.022850037,-0.014541626,-0.024925232,-0.037391663,-0.031158447,-0.022850037,-0.002082825,0.481887817,-0.0062332,-0.037391663,0.002075195,0.008308411,0.002075195,0.006233215,0.112167358,0.010383606,0.008308411,0.010391235,0.00415802,0.44
-0.020767212,-0.018692017,-0.002082825,-0.022842407,-0.0020752,0.623130798,-0.035308838,-0.018699646,-0.022850037,-0.031158447,-0.029075623,-0.033233643,0,0.517196655,-0.0083084,-0.031158447,0.006233215,0.002082825,0.00415802,0.002075195,0.116317749,0,0.010391235,0.006233215,0.006233215,0.46
-0.012458801,-0.016616821,0.002075195,-0.024925232,-0.0020752,0.668823242,-0.029075623,-0.014541626,-0.024925232,-0.031158447,-0.029075623,-0.018699646,0,0.527580261,-0.0041504,-0.031158447,0.004150391,-0.002075195,0.002075195,-0.006233215,0.108009338,0.004150391,0.016616821,0,0.00415802,0.48
-0.018692017,-0.016616821,0.004150391,-0.016616821,-0.0124664,0.710365295,-0.031158447,-0.010391235,-0.024925232,-0.035308838,-0.031158447,-0.024925232,-0.002082825,0.508888245,-0.0062332,-0.035308838,-0.002075195,-0.002075195,0.006233215,-0.012466431,0.108009338,0.006225586,0,0.00415802,0.012466431,0.5
-0.014541626,-0.020767212,5.55E-17,-0.016616821,-0.02285,0.764373779,-0.027000427,-0.014541626,-0.027008057,-0.029083252,-0.037384033,-0.029083252,0.004150391,0.471496582,-0.0083084,-0.029083252,0.006233215,0.006233215,-0.002075195,0.008308411,0.101776123,0.006225586,0.002082825,0.012466431,0.00415802,0.52
-0.020767212,-0.018692017,5.55E-17,-0.022842407,-0.0353088,0.818374634,-0.027000427,-0.018699646,-0.024925232,-0.024925232,-0.031158447,-0.027008057,0.002075195,0.425804138,-0.0020752,-0.024925232,-0.002075195,0.002082825,-0.002075195,0.035308838,0.093467712,0.002075195,0.008308411,0.006233215,0.006233215,0.54
-0.027000427,-0.018692017,5.55E-17,-0.022842407,-0.0373917,0.89315033,-0.029075623,-0.012466431,-0.027008057,-0.037391663,-0.037384033,-0.027008057,0.004150391,0.402954102,-0.0083084,-0.037391663,0.006233215,0.002082825,0.006233215,0.06023407,0.110084534,0.006225586,0,0.008308411,0.00415802,0.56
-0.020767212,-0.020767212,5.55E-17,-0.020767212,-0.0249252,0.976234436,-0.022850037,-0.012466431,-0.020774841,-0.037391663,-0.037384033,-0.029083252,0.002075195,0.405029297,-0.0145416,-0.037391663,0,0.002082825,0.002075195,0.049850464,0.126701355,0.006225586,0,0.010391235,0.00415802,0.58
-0.008308411,-0.014541626,0.004150391,-0.016616821,-0.0207748,1.067626953,-0.029075623,-0.014541626,-0.029083252,-0.037391663,-0.024925232,-0.031158447,0.006225586,0.405029297,-0.0062332,-0.037391663,-0.002075195,-0.002075195,0.006233215,0.049850464,0.149551392,0.006225586,0.00415802,0.00415802,0.00415802,0.6
-0.010383606,-0.016616821,0.004150391,-0.020767212,-0.0062332,1.129943848,-0.018692017,-0.016616821,-0.033233643,-0.037391663,-0.031158447,-0.024925232,0.004150391,0.392570496,-0.0020752,-0.037391663,0.002075195,0.00415802,-0.004150391,0.041542053,0.166168213,0.010383606,0.002082825,0.00415802,-0.002075195,0.62
-0.012458801,-0.018692017,5.55E-17,-0.010383606,-0.0062332,1.179794312,-0.024925232,-0.010391235,-0.031158447,-0.027000427,-0.029075623,-0.024925232,0.004150391,0.38218689,-0.0062332,-0.027000427,0.002075195,0.006233215,0.00415802,0.035308838,0.172401428,0.006225586,0.00415802,0.00415802,-0.002075195,0.64
-0.016616821,-0.016616821,0.002075195,-0.020767212,-0.0020752,1.237953186,-0.022850037,-0.010391235,-0.024925232,-0.033233643,-0.031158447,-0.027008057,0.004150391,0.375953674,-0.0083084,-0.033233643,0,0,0.00415802,-0.002075195,0.170326233,0.002075195,0.006233215,0.010391235,0.00415802,0.66
-0.020767212,-0.016616821,0.002075195,-0.018692017,-0.0062332,1.302337646,-0.018692017,-0.012466431,-0.016616821,-0.031158447,-0.031158447,-0.031158447,-0.006233215,0.375953674,-0.0083084,-0.031158447,0,0,-0.004150391,-0.024925232,0.164093018,0.004150391,0.002082825,0.008308411,-0.004150391,0.68
-0.016616821,-0.018692017,5.55E-17,-0.022842407,-0.0020752,0.857841492,-0.031158447,-0.016616821,-0.029083252,-0.031158447,-0.033233643,-0.027008057,0.006225586,0.388412476,-0.0083084,-0.031158447,-0.002075195,0,-0.006233215,-0.033233643,0.13293457,0.008308411,0.00415802,0.018699646,0.00415802,0.7
-0.024925232,-0.014541626,-0.002082825,-0.020767212,-0.004158,0.32610321,-0.027000427,-0.016616821,-0.027008057,-0.033233643,-0.035308838,-0.024925232,0.002075195,0.432037354,-0.0103836,-0.033233643,0.004150391,0.00415802,-0.004150391,-0.037391663,0.095550537,0.004150391,0.006233215,0.008308411,0.002082825,0.72
