Time,S1_Pre,S1_T1,S1_T2,S1_T3,S1_T4,S1_T5,S1_T5_2
1.22,-0.020767212,-0.020767212,-0.00415802,-0.022842407,0.11215973,-0.051933289,-0.022850037
1.24,-0.010383606,-0.024925232,-0.008308411,-0.024925232,0.16824341,-0.041542053,-0.018692017
1.26,-0.018692017,-0.018692017,-0.020774841,-0.020767212,0.19940186,-0.037391663,-0.027000427
1.28,-0.012458801,-0.014541626,-0.022850037,-0.022842407,0.19109344,-0.037391663,-0.027000427
1.3,-0.016616821,-0.012458801,-0.014541626,-0.018692017,0.15162659,-0.035316467,-0.022850037
1.32,-0.018692017,-0.012458801,-0.027008057,-0.018692017,0.09139252,-0.039466858,-0.018692017
1.34,-0.012458801,-0.012458801,-0.022850037,-0.018692017,0.03738403,-0.047775269,-0.024925232
1.36,-0.024925232,-0.010383606,-0.018699646,-0.018692017,0,-0.043624878,-0.024925232
1.38,-0.016616821,-0.008308411,-0.022850037,-0.022842407,-0.0020752,-0.041542053,-0.027000427
1.4,-0.012458801,-0.012458801,-0.031158447,-0.020767212,0.00623322,-0.033233643,-0.024925232
1.42,-0.016616821,-0.008308411,-0.018699646,-0.020767212,0.03738403,-0.045700073,-0.027000427
1.44,-0.014541626,5.55E-17,-0.024925232,-0.022842407,0.09554291,-0.041542053,-0.024925232
1.46,-0.020767212,5.55E-17,-0.029083252,-0.024925232,0.16201019,-0.041542053,-0.024925232
1.48,-0.014541626,-0.006233215,-0.024925232,-0.020767212,0.22847748,-0.043624878,-0.022850037
1.5,-0.014541626,-0.006233215,-0.029083252,-0.024925232,0.27417755,-0.049850464,-0.027000427
1.52,-0.022850037,-0.008308411,-0.031158447,-0.020767212,0.30741119,-0.035316467,-0.024925232
1.54,-0.020767212,-0.014541626,-0.024925232,-0.024925232,0.32610321,-0.039466858,-0.018692017
1.56,-0.016616821,-0.010383606,-0.020774841,-0.022842407,0.33026123,-0.037391663,-0.018692017
1.58,-0.014541626,-0.010383606,-0.018699646,-0.018692017,0.34687805,-0.033233643,-0.020767212
1.6,-0.018692017,-0.008308411,-0.016616821,-0.020767212,0.36764526,-0.033233643,-0.024925232
1.62,-0.020767212,-0.010383606,0.004150391,-0.022842407,0.38633728,-0.031158447,-0.029075623
1.64,-0.018692017,-0.010383606,0.089309692,-0.018692017,0.41542053,-0.031158447,-0.024925232
1.66,-0.016616821,-0.012458801,0.176551819,-0.020767212,0.45903778,-0.033233643,-0.016616821
1.68,-0.020767212,-0.010383606,0.240943909,-0.033233643,0.48603821,-0.031158447,-0.018692017
1.7,-0.008308411,-0.008308411,0.272094727,-0.022842407,0.50473785,-0.041542053,-0.027000427
1.72,-0.008308411,-0.008308411,0.290794373,-0.020767212,0.52550507,-0.035316467,-0.027000427
1.74,-0.012458801,-0.012458801,0.31363678,-0.024925232,0.54212189,-0.039466858,-0.022850037
1.76,-0.012458801,-0.006233215,0.328178406,-0.022842407,0.56289673,-0.039466858,-0.020767212
1.78,-0.020767212,-0.010383606,0.338562012,-0.016616821,0.58158875,-0.039466858,-0.020767212
1.8,-0.012458801,-0.010383606,0.344795227,-0.018692017,0.60235596,-0.035316467,-0.020767212
1.82,-0.020767212,-0.012458801,0.344795227,-0.016616821,0.61897278,-0.037391663,-0.029075623
1.84,-0.016616821,-0.016616821,0.338562012,-0.024925232,0.6231308,-0.035316467,-0.022850037
1.86,-0.012458801,-0.018692017,0.32610321,-0.022842407,0.63143921,-0.043624878,-0.024925232
1.88,-0.014541626,-0.010383606,0.311561584,-0.024925232,0.63767242,-0.033233643,-0.024925232
1.9,-0.020767212,-0.004150391,0.290794373,-0.022842407,0.6355896,-0.041542053,-0.022850037
