Time,S2_Pre,S2_T1,S2_T2,S2_T3,S2_T4,S2_T5
0,-0.018699646,-0.022850037,-0.031158447,-0.029075623,-0.031158447,-0.002082825
0.02,-0.008308411,-0.022850037,-0.035308838,-0.029075623,-0.024925232,-0.002082825
0.04,-0.016616821,-0.027008057,-0.029083252,-0.035308838,-0.024925232,0.004150391
0.06,-0.018699646,-0.029083252,-0.031158447,-0.031158447,-0.033233643,0.002075195
0.08,-0.010391235,-0.029083252,-0.035308838,-0.027000427,-0.033233643,-0.002082825
0.1,-0.012466431,-0.031158447,-0.039466858,-0.031158447,-0.031158447,-0.002082825
0.12,-0.014541626,-0.024925232,-0.035308838,-0.024925232,-0.033233643,0
0.14,-0.010391235,-0.024925232,-0.039466858,-0.033233643,-0.027008057,0.002075195
0.16,-0.012466431,-0.024925232,-0.037391663,-0.031158447,-0.031158447,0.002075195
0.18,-0.012466431,-0.029083252,-0.027000427,-0.022850037,-0.033233643,-0.00415802
0.2,-0.010391235,-0.027008057,-0.027000427,-0.024925232,-0.022850037,0
0.22,-0.014541626,-0.033233643,-0.031158447,-0.024925232,-0.029083252,0.004150391
0.24,-0.024925232,-0.029083252,-0.031158447,-0.027000427,-0.033233643,-0.002082825
0.26,-0.016616821,-0.024925232,-0.035308838,-0.029075623,-0.029083252,0.004150391
0.28,-0.018699646,-0.024925232,-0.039466858,-0.035308838,-0.033233643,0.002075195
0.3,-0.010391235,-0.029083252,-0.033233643,-0.033233643,-0.022850037,-0.008308411
0.32,-0.022850037,-0.031158447,-0.037391663,-0.024925232,-0.027008057,-0.00415802
0.34,-0.018699646,-0.022850037,-0.037391663,-0.031158447,-0.029083252,-0.002082825
0.36,-0.012466431,-0.029083252,-0.035308838,-0.033233643,-0.024925232,-0.00415802
0.38,-0.010391235,-0.027008057,-0.039466858,-0.033233643,-0.020774841,0.002075195
0.4,-0.014541626,-0.024925232,-0.033233643,-0.027000427,-0.024925232,-0.002082825
0.42,-0.014541626,-0.024925232,-0.039466858,-0.033233643,-0.037391663,0
0.44,-0.014541626,-0.024925232,-0.037391663,-0.031158447,-0.022850037,-0.002082825
0.46,-0.018699646,-0.022850037,-0.031158447,-0.029075623,-0.033233643,0
0.48,-0.014541626,-0.024925232,-0.031158447,-0.029075623,-0.018699646,0
0.5,-0.010391235,-0.024925232,-0.035308838,-0.031158447,-0.024925232,-0.002082825
0.52,-0.014541626,-0.027008057,-0.029083252,-0.037384033,-0.029083252,0.004150391
0.54,-0.018699646,-0.024925232,-0.024925232,-0.031158447,-0.027008057,0.002075195
0.56,-0.012466431,-0.027008057,-0.037391663,-0.037384033,-0.027008057,0.004150391
0.58,-0.012466431,-0.020774841,-0.037391663,-0.037384033,-0.029083252,0.002075195
0.6,-0.014541626,-0.029083252,-0.037391663,-0.024925232,-0.031158447,0.006225586
0.62,-0.016616821,-0.033233643,-0.037391663,-0.031158447,-0.024925232,0.004150391
0.64,-0.010391235,-0.031158447,-0.027000427,-0.029075623,-0.024925232,0.004150391
0.66,-0.010391235,-0.024925232,-0.033233643,-0.031158447,-0.027008057,0.004150391
0.68,-0.012466431,-0.016616821,-0.031158447,-0.031158447,-0.031158447,-0.006233215
0.7,-0.016616821,-0.029083252,-0.031158447,-0.033233643,-0.027008057,0.006225586
0.72,-0.016616821,-0.027008057,-0.033233643,-0.035308838,-0.024925232,0.002075195
0.74,-0.016616821,-0.022850037,-0.033233643,-0.035308838,-0.031158447,-0.002082825
0.76,-0.014541626,-0.018699646,-0.033233643,-0.033233643,-0.027008057,0.006225586
0.78,-0.012466431,-0.024925232,-0.035308838,-0.024925232,-0.029083252,0.008308411
0.8,-0.010391235,-0.029083252,-0.039466858,-0.029075623,-0.027008057,0
0.82,-0.016616821,-0.029083252,-0.033233643,-0.020767212,-0.029083252,0
0.84,-0.012466431,-0.029083252,-0.033233643,-0.033233643,-0.020774841,-0.00415802
0.86,-0.020774841,-0.027008057,-0.031158447,-0.018692017,-0.027008057,0.006225586
0.88,-0.016616821,-0.024925232,-0.035308838,-0.027000427,-0.022850037,0
0.9,-0.016616821,-0.029083252,-0.031158447,-0.022850037,-0.029083252,0.004150391
0.92,-0.010391235,-0.024925232,-0.033233643,-0.024925232,-0.029083252,0.008308411
0.94,-0.020774841,-0.027008057,-0.029083252,-0.024925232,-0.024925232,0.006225586
0.96,-0.016616821,-0.029083252,-0.037391663,-0.029075623,-0.033233643,-0.006233215
0.98,-0.020774841,-0.029083252,-0.041542053,-0.029075623,-0.031158447,0
1,-0.014541626,-0.033233643,-0.037391663,-0.024925232,-0.033233643,-0.002082825
1.02,-0.014541626,-0.031158447,-0.039466858,-0.029075623,-0.031158447,0.002075195
1.04,-0.020774841,-0.033233643,-0.033233643,-0.029075623,-0.035316467,0.002075195
1.06,-0.014541626,-0.035316467,-0.037391663,-0.029075623,-0.031158447,-0.006233215
1.08,-0.016616821,-0.029083252,-0.033233643,-0.029075623,-0.027008057,0
1.1,-0.012466431,-0.024925232,-0.029083252,-0.027000427,-0.035316467,0
1.12,-0.014541626,-0.029083252,-0.033233643,-0.031158447,-0.029083252,0.006225586
1.14,-0.012466431,-0.016616821,-0.033233643,-0.031158447,-0.037391663,0.002075195
1.16,-0.006233215,-0.029083252,-0.039466858,-0.033233643,-0.033233643,0.004150391
1.18,-0.016616821,-0.020774841,-0.033233643,-0.033233643,-0.037391663,0.006225586
1.2,-0.014541626,-0.027008057,-0.033233643,-0.031158447,-0.033233643,0.002075195
1.22,-0.018699646,-0.024925232,-0.043617249,-0.029075623,-0.022850037,0
1.24,-0.020774841,-0.024925232,-0.045700073,-0.027000427,-0.029083252,0.008308411
1.26,-0.022850037,-0.027008057,-0.054008484,-0.020767212,-0.033233643,-0.002082825
1.28,-0.014541626,-0.041542053,-0.056083679,-0.033233643,-0.031158447,0.002075195
1.3,-0.012466431,-0.039466858,-0.054008484,-0.033233643,-0.027008057,-0.010391235
