Data Set 1:Time(s),Data Set 1:Force G(N),Data Set 2:Time(s),Data Set 2:Force G(N),Data Set 3:Time(s),Data Set 3:Force G(N),Data Set 4:Time(s),Data Set 4:Force G(N),Data Set 5:Time(s),Data Set 5:Force G(N),Data Set 6:Time(s),Data Set 6:Force G(N)
0,-0.02285003662109375,0,-0.027008056640625,0,-0.00830841064453125,0,-0.02285003662109375,0,0.09346771240234375,0,-0.02492523193359375
0.02,-0.0166168212890625,0.02,-0.01869964599609375,0.02,-0.00830841064453125,0.02,-0.02077484130859375,0.02,0.135009765625,0.02,-0.02285003662109375
0.040000000000000001,-0.02077484130859375,0.040000000000000001,-0.02285003662109375,0.040000000000000001,-0.00623321533203125,0.040000000000000001,-0.02077484130859375,0.040000000000000001,0.1827850341796875,0.040000000000000001,-0.02907562255859375
0.059999999999999998,-0.02077484130859375,0.059999999999999998,-0.02492523193359375,0.059999999999999998,-0.00623321533203125,0.059999999999999998,-0.02077484130859375,0.059999999999999998,0.2160186767578125,0.059999999999999998,-0.02700042724609375
0.080000000000000002,-0.02285003662109375,0.080000000000000002,-0.02285003662109375,0.080000000000000002,-0.0103912353515625,0.080000000000000002,-0.02285003662109375,0.080000000000000002,0.2160186767578125,0.080000000000000002,-0.02907562255859375
0.10000000000000001,-0.02285003662109375,0.10000000000000001,-0.02285003662109375,0.10000000000000001,-0.00830841064453125,0.10000000000000001,-0.0186920166015625,0.10000000000000001,0.1516265869140625,0.10000000000000001,-0.02492523193359375
0.12,-0.01869964599609375,0.12,-0.01869964599609375,0.12,-0.00208282470703125,0.12,-0.0124664306640625,0.12,0.0498504638671875,0.12,-0.02492523193359375
0.14000000000000001,-0.02285003662109375,0.14000000000000001,-0.01869964599609375,0.14000000000000001,-0.00623321533203125,0.14000000000000001,-0.0145416259765625,0.14000000000000001,-0.00623321533203125,0.14000000000000001,-0.02492523193359375
0.16,-0.02285003662109375,0.16,-0.027008056640625,0.16,-0.00208282470703125,0.16,-0.0145416259765625,0.16,-0.03946685791015625,0.16,-0.02700042724609375
0.17999999999999999,-0.01869964599609375,0.17999999999999999,-0.01869964599609375,0.17999999999999999,-0.00208282470703125,0.17999999999999999,-0.02077484130859375,0.17999999999999999,-0.0436248779296875,0.17999999999999999,-0.02907562255859375
0.20000000000000001,-0.0166168212890625,0.20000000000000001,-0.01869964599609375,0.20000000000000001,-0.00830841064453125,0.20000000000000001,-0.0124664306640625,0.20000000000000001,-0.0457000732421875,0.20000000000000001,-0.02285003662109375
0.22,-0.02492523193359375,0.22,-0.0166168212890625,0.22,-0.0103912353515625,0.22,-0.00830841064453125,0.22,-0.027008056640625,0.22,-0.02492523193359375
0.23999999999999999,-0.02077484130859375,0.23999999999999999,-0.02492523193359375,0.23999999999999999,0,0.23999999999999999,-0.0166168212890625,0.23999999999999999,0.0166168212890625,0.23999999999999999,-0.0207672119140625
0.26000000000000001,-0.0166168212890625,0.26000000000000001,-0.02285003662109375,0.26000000000000001,-0.00208282470703125,0.26000000000000001,-0.02077484130859375,0.26000000000000001,0.08100128173828125,0.26000000000000001,-0.02492523193359375
0.28000000000000003,-0.02285003662109375,0.28000000000000003,-0.02077484130859375,0.28000000000000003,-0.00623321533203125,0.28000000000000003,-0.02077484130859375,0.28000000000000003,0.2180938720703125,0.28000000000000003,-0.02492523193359375
0.29999999999999999,-0.0166168212890625,0.29999999999999999,-0.02492523193359375,0.29999999999999999,-0.0103912353515625,0.29999999999999999,-0.02077484130859375,0.29999999999999999,0.365570068359375,0.29999999999999999,-0.0207672119140625
0.32000000000000001,-0.0166168212890625,0.32000000000000001,-0.02077484130859375,0.32000000000000001,-0.0103912353515625,0.32000000000000001,-0.0166168212890625,0.32000000000000001,0.44449615478515625,0.32000000000000001,-0.0207672119140625
0.34000000000000002,-0.0166168212890625,0.34000000000000002,-0.02492523193359375,0.34000000000000002,0,0.34000000000000002,-0.0186920166015625,0.34000000000000002,0.4881134033203125,0.34000000000000002,-0.0186920166015625
0.35999999999999999,-0.0166168212890625,0.35999999999999999,-0.02492523193359375,0.35999999999999999,-0.0145416259765625,0.35999999999999999,-0.02077484130859375,0.35999999999999999,0.50681304931640625,0.35999999999999999,-0.02285003662109375
0.38,-0.02077484130859375,0.38,-0.02077484130859375,0.38,-0.0145416259765625,0.38,-0.02700042724609375,0.38,0.52342987060546875,0.38,-0.02492523193359375
0.40000000000000002,-0.02285003662109375,0.40000000000000002,-0.0124664306640625,0.40000000000000002,-0.0124664306640625,0.40000000000000002,-0.0145416259765625,0.40000000000000002,0.5525054931640625,0.40000000000000002,-0.0186920166015625
0.41999999999999998,-0.01869964599609375,0.41999999999999998,-0.027008056640625,0.41999999999999998,-0.0124664306640625,0.41999999999999998,-0.02077484130859375,0.41999999999999998,0.569122314453125,0.41999999999999998,-0.0207672119140625
0.44,-0.02077484130859375,0.44,-0.0145416259765625,0.44,-0.00415802001953125,0.44,-0.035308837890625,0.44,0.5857391357421875,0.44,-0.02285003662109375
0.46000000000000002,-0.0166168212890625,0.46000000000000002,-0.02077484130859375,0.46000000000000002,-0.0103912353515625,0.46000000000000002,-0.01038360595703125,0.46000000000000002,0.62313079833984375,0.46000000000000002,-0.035308837890625
0.47999999999999998,-0.02285003662109375,0.47999999999999998,-0.01869964599609375,0.47999999999999998,-0.00415802001953125,0.47999999999999998,0.00623321533203125,0.47999999999999998,0.6688232421875,0.47999999999999998,-0.02907562255859375
