Data Set 1:Time(s),Data Set 1:Force G(N),Data Set 2:Time(s),Data Set 2:Force G(N),Data Set 3:Time(s),Data Set 3:Force G(N),Data Set 4:Time(s),Data Set 4:Force G(N),Data Set 5:Time(s),Data Set 5:Force G(N),
,,27.56,0.012458801,,,,,,,
,,27.58,0.012458801,,,,,,,
,,27.6,0.014533997,,,,,,,
,,27.62,0.016616821,,,,,,,
,,27.64,0.020767212,,,,,,,
,,27.66,0.018692017,,,,,,,
,,27.68,0.010383606,,,,,,,
,,27.7,0.014533997,,,,,,,
,,27.72,0.018692017,,,,,,,
,,27.74,0.016616821,,,,,,,
,,27.76,0.016616821,,,,,,,
,,27.78,0.024925232,,,,,,,
,,27.8,0.024925232,,,,,,,
,,27.82,0.027000427,,,,,,,
,,27.84,0.041542053,,,,,,,
,,27.86,0.06854248,,,,,,,
,,27.88,0.12046814,,,,,,,
,,27.9,0.288711548,,,,,,,
,,27.92,0.359336853,,,,,,,
,,27.94,0.309486389,,,,,,,
,,27.96,0.205627441,,,,,,,
,,27.98,0.153701782,,,,,,,
,,28,0.12462616,,,,,,,
,,28.02,0.122543335,,,,,,,
,,28.04,0.112159729,,,,,,,
,,28.06,0.066467285,,,,,,,
,,28.08,0.043617249,,,,,,,
,,28.1,0.070617676,,,,,,,
,,28.12,0.087234497,,,,,,,
,,28.14,0.081001282,,,,,,,
,,28.16,0.093467712,,,,,,,
,,28.18,0.095542908,,,,,,,
,,28.2,0.058158875,,,,,,,
,,28.22,0.035308838,,,,,,,
,,28.24,0.024925232,,,,,,,
,,28.26,0.014533997,,,,,,,
,,28.28,0.018692017,,,,,,,
,,28.3,0.020767212,,,,,,,
,,28.32,0.010383606,,,,,,,
,,28.34,0.016616821,,,,,,,
,,28.36,0.020767212,,,,,,,
,,28.38,0.012458801,,,,,,,
,,28.4,0.016616821,,,,,,,
,,28.42,0.018692017,,,,,,,
,,28.44,0.014533997,,,,,,,
,,28.46,0.018692017,,,,,,,
,,28.48,0.016616821,,,,,,,
,,28.5,0.020767212,,,,,,,
,,28.52,0.020767212,,,,,,,
,,28.54,0.018692017,,,,,,,
,,28.56,0.018692017,,,,,,,
,,28.58,0.018692017,,,,,,,
,,28.6,0.024925232,,,,,,,
,,28.62,0.014533997,,,,,,,
,,28.64,0.022842407,,,,,,,
,,28.66,0.014533997,,,,,,,
,,28.68,0.016616821,,,,,,,
,,28.7,0.014533997,,,,,,,
,,28.72,0.018692017,,,,,,,
,,28.74,0.014533997,,,,,,,
,,28.76,0.014533997,,,,,,,
,,28.78,0.014533997,,,,,,,
,,28.8,0.012458801,,,,,,,
,,28.82,0.012458801,,,,,,,
,,28.84,0.016616821,,,,,,,
,,28.86,0.012458801,,,,,,,
,,28.88,0.014533997,,,,,,,
,,28.9,0.016616821,,,,,,,
,,28.92,0.020767212,,,,,,,
,,28.94,0.014533997,,,,,,,
,,28.96,0.016616821,,,,,,,
,,28.98,0.008308411,,,,,,,
,,29,0.016616821,,,,,,,
,,29.02,0.014533997,,,,,,,
,,29.04,0.012458801,,,,,,,
,,29.06,0.012458801,,,,,,,
,,29.08,0.010383606,,,,,,,
,,29.1,0.010383606,,,,,,,
,,29.12,0.012458801,,,,,,,
,,29.14,0.016616821,,,,,,,
,,29.16,0.014533997,,,,,,,
,,29.18,0.018692017,,,,,,,
,,29.2,0.014533997,,,,,,,
,,29.22,0.012458801,,,,,,,
,,29.24,0.018692017,,,,,,,
,,29.26,0.012458801,,,,,,,
,,29.28,0.012458801,,,,,,,
,,29.3,0.014533997,,,,,,,
,,29.32,0.012458801,,,,,,,
,,29.34,0.020767212,,,,,,,
,,29.36,0.016616821,,,,,,,
,,29.38,0.018692017,,,,,,,
,,29.4,0.016616821,,,,,,,
,,29.42,0.016616821,,,,,,,
,,29.44,0.010383606,,,,,,,
,,29.46,0.020767212,,,,,,,
,,29.48,0.012458801,,,,,,,
,,29.5,0.014533997,,,,,,,
,,29.52,0.016616821,,,,,,,
,,29.54,0.012458801,,,,,,,
,,29.56,0.010383606,,,,,,,
,,29.58,0.016616821,,,,,,,
,,29.6,0.012458801,,,,,,,
,,29.62,0.014533997,,,,,,,
,,29.64,0.022842407,,,,,,,
,,29.66,0.016616821,,,,,,,
,,29.68,0.012458801,,,,,,,
,,29.7,0.014533997,,,,,,,
,,29.72,0.012458801,,,,,,,
,,29.74,0.018692017,,,,,,,
,,29.76,0.020767212,,,,,,,
,,29.78,0.008308411,,,,,,,
,,29.8,0.016616821,,,,,,,
,,29.82,0.008308411,,,,,,,
,,29.84,0.012458801,,,,,,,
,,29.86,0.008308411,,,,,,,
,,29.88,0.016616821,,,,,,,
,,29.9,0.010383606,,,,,,,
,,29.92,0.016616821,,,,,,,
,,29.94,0.012458801,,,,,,,
,,29.96,0.016616821,,,,,,,
,,29.98,0.014533997,,,,,,,
,,30,0.014533997,,,,,,,
,,30.02,0.012458801,,,,,,,
,,30.04,0.012458801,,,,,,,
,,30.06,0.008308411,,,,,,,
,,30.08,0.014533997,,,,,,,
,,30.1,0.006225586,,,,,,,
,,30.12,0.008308411,,,,,,,
,,30.14,0.020767212,,,,,,,
,,30.16,0.014533997,,,,,,,
,,30.18,0.014533997,,,,,,,
,,30.2,0.014533997,,,,,,,
,,30.22,0.014533997,,,,,,,
,,30.24,0.008308411,,,,,,,
,,30.26,0.012458801,,,,,,,
,,30.28,0.012458801,,,,,,,
,,30.3,0.010383606,,,,,,,
,,30.32,0.012458801,,,,,,,
,,30.34,0.006225586,,,,,,,
,,30.36,0.008308411,,,,,,,
,,30.38,0.010383606,,,,,,,
,,30.4,0.010383606,,,,,,,
,,30.42,0.006225586,,,,,,,
,,30.44,0.008308411,,,,,,,
,,30.46,0.006225586,,,,,,,
,,30.48,0,,,,,,,
,,30.5,0,,,,,,,
,,30.52,0.006225586,,,,,,,
,,30.54,-0.002082825,,,,,,,
,,30.56,0,,,,,,,
,,30.58,-0.010391235,,,,,,,
,,30.6,-0.008308411,,,,,,,
,,30.62,0,,,,,,,
,,30.64,-0.008308411,,,,,,,
,,30.66,-0.012466431,,,,,,,
,,30.68,-0.016616821,,,,,,,
,,30.7,-0.012466431,,,,,,,
,,30.72,-0.012466431,,,,,,,
,,30.74,-0.014541626,,,,,,,
,,30.76,-0.006233215,,,,,,,
,,30.78,-0.012466431,,,,,,,
,,30.8,-0.014541626,,,,,,,
,,30.82,-0.014541626,,,,,,,
,,30.84,-0.012466431,,,,,,,
,,30.86,-0.016616821,,,,,,,
,,30.88,-0.014541626,,,,,,,
,,30.9,-0.010391235,,,,,,,
,,30.92,-0.010391235,,,,,,,
,,30.94,-0.010391235,,,,,,,
,,30.96,-0.008308411,,,,,,,
,,30.98,-0.012466431,,,,,,,
,,31,-0.006233215,,,,,,,
,,31.02,-0.008308411,,,,,,,
,,31.04,-0.006233215,,,,,,,
,,31.06,-0.010391235,,,,,,,
,,31.08,-0.014541626,,,,,,,
,,31.1,-0.008308411,,,,,,,
,,31.12,-0.014541626,,,,,,,
,,31.14,-0.014541626,,,,,,,
,,31.16,-0.014541626,,,,,,,
,,31.18,-0.006233215,,,,,,,
,,31.2,-0.006233215,,,,,,,
,,31.22,0.002075195,,,,,,,
,,31.24,0.002075195,,,,,,,
,,31.26,0.002075195,,,,,,,
,,31.28,0.006225586,,,,,,,
,,31.3,0.004150391,,,,,,,
,,31.32,-0.002082825,,,,,,,
,,31.34,-0.002082825,,,,,,,
,,31.36,-0.010391235,,,,,,,
,,31.38,-0.010391235,,,,,,,
,,31.4,-0.010391235,,,,,,,
,,31.42,-0.010391235,,,,,,,
,,31.44,-0.002082825,,,,,,,
,,31.46,-0.012466431,,,,,,,
,,31.48,-0.014541626,,,,,,,
,,31.5,-0.008308411,,,,,,,
,,31.52,-0.010391235,,,,,,,
,,31.54,-0.008308411,,,,,,,
,,31.56,-0.006233215,,,,,,,
,,31.58,-0.010391235,,,,,,,
,,31.6,-0.010391235,,,,,,,
,,31.62,-0.006233215,,,,,,,
,,31.64,-0.008308411,,,,,,,
,,31.66,-0.012466431,,,,,,,
,,31.68,-0.002082825,,,,,,,
,,31.7,-0.00415802,,,,,,,
,,31.72,-0.012466431,,,,,,,
,,31.74,-0.00415802,,,,,,,
,,31.76,-0.006233215,,,,,,,
,,31.78,-0.002082825,,,,,,,
,,31.8,-0.010391235,,,,,,,
,,31.82,-0.008308411,,,,,,,
,,31.84,-0.012466431,,,,,,,
,,31.86,-0.008308411,,,,,,,
,,31.88,-0.006233215,,,,,,,
,,31.9,-0.00415802,,,,,,,
,,31.92,-0.00415802,,,,,,,
,,31.94,-0.010391235,,,,,,,
,,31.96,-0.010391235,,,,,,,
,,31.98,-0.010391235,,,,,,,
,,32,-0.012466431,,,,,,,
,,32.02,-0.008308411,,,,,,,
,,32.04,-0.012466431,,,,,,,
,,32.06,-0.006233215,,,,,,,
,,32.08,-0.010391235,,,,,,,
,,32.1,-0.018699646,,,,,,,
,,32.12,-0.018699646,,,,,,,
,,32.14,-0.018699646,,,,,,,
,,32.16,-0.012466431,,,,,,,
,,32.18,-0.020774841,,,,,,,
,,32.2,-0.020774841,,,,,,,
,,32.22,-0.010391235,,,,,,,
,,32.24,-0.006233215,,,,,,,
,,32.26,-0.006233215,,,,,,,
,,32.28,-0.00415802,,,,,,,
,,32.3,-0.002082825,,,,,,,
,,32.32,-0.00415802,,,,,,,
,,32.34,-0.006233215,,,,,,,
,,32.36,-0.014541626,,,,,,,
,,32.38,-0.008308411,,,,,,,
,,32.4,-0.006233215,,,,,,,
,,32.42,-0.002082825,,,,,,,
,,32.44,-0.018699646,,,,,,,
,,32.46,-0.010391235,,,,,,,
,,32.48,-0.00415802,,,,,,,
,,32.5,-0.012466431,,,,,,,
,,32.52,-0.00415802,,,,,,,
,,32.54,-0.008308411,,,,,,,
,,32.56,-0.006233215,,,,,,,
,,32.58,-0.006233215,,,,,,,
,,32.6,-0.010391235,,,,,,,
,,32.62,-0.002082825,,,,,,,
,,32.64,-0.016616821,,,,,,,
,,32.66,-0.008308411,,,,,,,
,,32.68,-0.008308411,,,,,,,
,,32.7,-0.006233215,,,,,,,
,,32.72,-0.010391235,,,,,,,
,,32.74,-0.006233215,,,,,,,
,,32.76,-0.008308411,,,,,,,
,,32.78,-0.002082825,,,,,,,
,,32.8,-0.008308411,,,,,,,
,,32.82,-0.016616821,,,,,,,
,,32.84,-0.010391235,,,,,,,
,,32.86,-0.008308411,,,,,,,
,,32.88,-0.00415802,,,,,,,
,,32.9,-0.012466431,,,,,,,
,,32.92,-0.008308411,,,,,,,
,,32.94,-0.010391235,,,,,,,
,,32.96,-0.006233215,,,,,,,
,,32.98,-0.006233215,,,,,,,
,,33,-0.00415802,,,,,,,
,,33.02,-0.012466431,,,,,,,
,,33.04,-0.014541626,,,,,,,
,,33.06,-0.006233215,,,,,,,
,,33.08,-0.006233215,,,,,,,
,,33.1,-0.00415802,,,,,,,
,,33.12,-0.008308411,,,,,,,
,,33.14,-0.008308411,,,,,,,
,,33.16,-0.010391235,,,,,,,
,,33.18,-0.010391235,,,,,,,
,,33.2,-0.012466431,,,,,,,
,,33.22,-0.010391235,,,,,,,
,,33.24,-0.014541626,,,,,,,
,,33.26,-0.010391235,,,,,,,
,,33.28,-0.006233215,,,,,,,
,,33.3,-0.010391235,,,,,,,
,,33.32,-0.008308411,,,,,,,
,,33.34,-0.002082825,,,,,,,
,,33.36,-0.006233215,,,,,,,
,,33.38,-0.002082825,,,,,,,
,,33.4,-0.00415802,,,,,,,
,,33.42,-0.012466431,,,,,,,
,,33.44,-0.010391235,,,,,,,
,,33.46,-0.012466431,,,,,,,
,,33.48,-0.010391235,,,,,,,
,,33.5,-0.006233215,,,,,,,
,,33.52,-0.008308411,,,,,,,
,,33.54,-0.008308411,,,,,,,
,,33.56,-0.016616821,,,,,,,
,,33.58,-0.00415802,,,,,,,
,,33.6,-0.00415802,,,,,,,
,,33.62,-0.006233215,,,,,,,
,,33.64,-0.010391235,,,,,,,
,,33.66,-0.006233215,,,,,,,
,,33.68,-0.014541626,,,,,,,
,,33.7,-0.006233215,,,,,,,
,,33.72,-0.006233215,,,,,,,
,,33.74,-0.012466431,,,,,,,
,,33.76,-0.012466431,,,,,,,
,,33.78,-0.008308411,,,,,,,
,,33.8,-0.010391235,,,,,,,
,,33.82,-0.006233215,,,,,,,
,,33.84,-0.010391235,,,,,,,
,,33.86,-0.008308411,,,,,,,
,,33.88,-0.00415802,,,,,,,
,,33.9,-0.002082825,,,,,,,
,,33.92,-0.006233215,,,,,,,
,,33.94,-0.008308411,,,,,,,
,,33.96,-0.006233215,,,,,,,
,,33.98,-0.008308411,,,,,,,
,,34,-0.010391235,,,,,,,
,,34.02,-0.00415802,,,,,,,
,,34.04,-0.002082825,,,,,,,
,,34.06,-0.008308411,,,,,,,
,,34.08,-0.010391235,,,,,,,
,,34.1,-0.002082825,,,,,,,
,,34.12,-0.012466431,,,,,,,
,,34.14,-0.012466431,,,,,,,
,,34.16,-0.008308411,,,,,,,
,,34.18,-0.006233215,,,,,,,
,,34.2,-0.002082825,,,,,,,
,,34.22,0,,,,,,,
,,34.24,-0.00415802,,,,,,,
,,34.26,-0.006233215,,,,,,,
,,34.28,-0.006233215,,,,,,,
,,34.3,-0.00415802,,,,,,,
,,34.32,-0.008308411,,,,,,,
,,34.34,-0.006233215,,,,,,,
,,34.36,-0.006233215,,,,,,,
,,34.38,-0.010391235,,,,,,,
,,34.4,-0.010391235,,,,,,,
,,34.42,-0.00415802,,,,,,,
,,34.44,-0.008308411,,,,,,,
,,34.46,-0.002082825,,,,,,,
,,34.48,-0.00415802,,,,,,,
,,34.5,-0.00415802,,,,,,,
,,34.52,-0.008308411,,,,,,,
,,34.54,-0.006233215,,,,,,,
,,34.56,-0.00415802,,,,,,,
,,34.58,-0.008308411,,,,,,,
,,34.6,-0.008308411,,,,,,,
,,34.62,-0.010391235,,,,,,,
,,34.64,-0.016616821,,,,,,,
,,34.66,-0.008308411,,,,,,,
,,34.68,-0.008308411,,,,,,,
,,34.7,-0.006233215,,,,,,,
,,34.72,-0.010391235,,,,,,,
,,34.74,-0.006233215,,,,,,,
,,34.76,-0.00415802,,,,,,,
,,34.78,-0.008308411,,,,,,,
,,34.8,-0.006233215,,,,,,,
,,34.82,-0.006233215,,,,,,,
,,34.84,-0.00415802,,,,,,,
,,34.86,-0.00415802,,,,,,,
,,34.88,-0.008308411,,,,,,,
,,34.9,-0.008308411,,,,,,,
,,34.92,-0.012466431,,,,,,,
,,34.94,-0.008308411,,,,,,,
,,34.96,-0.006233215,,,,,,,
,,34.98,-0.014541626,,,,,,,
,,35,-0.010391235,,,,,,,
,,35.02,-0.006233215,,,,,,,
,,35.04,-0.002082825,,,,,,,
,,35.06,-0.008308411,,,,,,,
,,35.08,-0.008308411,,,,,,,
,,35.1,-0.006233215,,,,,,,
,,35.12,-0.014541626,,,,,,,
,,35.14,-0.010391235,,,,,,,
,,35.16,-0.008308411,,,,,,,
,,35.18,-0.00415802,,,,,,,
,,35.2,-0.002082825,,,,,,,
,,35.22,-0.014541626,,,,,,,
,,35.24,-0.012466431,,,,,,,
,,35.26,-0.014541626,,,,,,,
,,35.28,-0.010391235,,,,,,,
,,35.3,-0.010391235,,,,,,,
,,35.32,-0.006233215,,,,,,,
,,35.34,-0.012466431,,,,,,,
,,35.36,-0.006233215,,,,,,,
,,35.38,-0.008308411,,,,,,,
,,35.4,-0.00415802,,,,,,,
,,35.42,-0.006233215,,,,,,,
,,35.44,-0.00415802,,,,,,,
,,35.46,-0.00415802,,,,,,,
,,35.48,0,,,,,,,
,,35.5,-0.008308411,,,,,,,
,,35.52,-0.002082825,,,,,,,
,,35.54,-0.010391235,,,,,,,
,,35.56,-0.008308411,,,,,,,
,,35.58,-0.002082825,,,,,,,
,,35.6,-0.008308411,,,,,,,
,,35.62,-0.008308411,,,,,,,
,,35.64,-0.006233215,,,,,,,
,,35.66,-0.008308411,,,,,,,
,,35.68,-0.008308411,,,,,,,
,,35.7,-0.010391235,,,,,,,
,,35.72,-0.00415802,,,,,,,
,,35.74,-0.008308411,,,,,,,
,,35.76,-0.008308411,,,,,,,
,,35.78,-0.00415802,,,,,,,
,,35.8,-0.008308411,,,,,,,
,,35.82,-0.002082825,,,,,,,
,,35.84,-0.008308411,,,,,,,
,,35.86,-0.008308411,,,,,,,
,,35.88,-0.00415802,,,,,,,
,,35.9,-0.00415802,,,,,,,
,,35.92,-0.006233215,,,,,,,
,,35.94,-0.008308411,,,,,,,
,,35.96,-0.002082825,,,,,,,
,,35.98,-0.008308411,,,,,,,
,,36,-0.006233215,,,,,,,
,,36.02,-0.012466431,,,,,,,
,,36.04,-0.008308411,,,,,,,
,,36.06,-0.006233215,,,,,,,
,,36.08,-0.00415802,,,,,,,
,,36.1,-0.00415802,,,,,,,
,,36.12,-0.002082825,,,,,,,
,,36.14,0,,,,,,,
,,36.16,-0.00415802,,,,,,,
,,36.18,-0.008308411,,,,,,,
,,36.2,-0.008308411,,,,,,,
,,36.22,0,,,,,,,
,,36.24,-0.00415802,,,,,,,
,,36.26,0.002075195,,,,,,,
,,36.28,0.004150391,,,,,,,
,,36.3,-0.002082825,,,,,,,
,,36.32,-0.006233215,,,,,,,
,,36.34,0.002075195,,,,,,,
,,36.36,-0.006233215,,,,,,,
,,36.38,-0.006233215,,,,,,,
,,36.4,-0.012466431,,,,,,,
,,36.42,-0.00415802,,,,,,,
,,36.44,-0.00415802,,,,,,,
,,36.46,-0.006233215,,,,,,,
,,36.48,-0.00415802,,,,,,,
,,36.5,-0.002082825,,,,,,,
,,36.52,-0.008308411,,,,,,,
,,36.54,-0.008308411,,,,,,,
,,36.56,-0.002082825,,,,,,,
,,36.58,-0.002082825,,,,,,,
,,36.6,-0.008308411,,,,,,,
,,36.62,-0.008308411,,,,,,,
,,36.64,-0.006233215,,,,,,,
,,36.66,-0.00415802,,,,,,,
,,36.68,-0.012466431,,,,,,,
,,36.7,-0.006233215,,,,,,,
,,36.72,-0.010391235,,,,,,,
,,36.74,-0.010391235,,,,,,,
,,36.76,-0.010391235,,,,,,,
,,36.78,-0.00415802,,,,,,,
,,36.8,-0.008308411,,,,,,,
,,36.82,-0.00415802,,,,,,,
,,36.84,-0.008308411,,,,,,,
,,36.86,-0.008308411,,,,,,,
,,36.88,-0.00415802,,,,,,,
,,36.9,-0.002082825,,,,,,,
,,36.92,-0.00415802,,,,,,,
,,36.94,-0.00415802,,,,,,,
,,36.96,-0.006233215,,,,,,,
,,36.98,0,,,,,,,
,,37,-0.00415802,,,,,,,
,,37.02,-0.006233215,,,,,,,
,,37.04,-0.00415802,,,,,,,
,,37.06,-0.008308411,,,,,,,
,,37.08,-0.002082825,,,,,,,
,,37.1,-0.010391235,,,,,,,
,,37.12,-0.010391235,,,,,,,
,,37.14,-0.008308411,,,,,,,
,,37.16,-0.008308411,,,,,,,
,,37.18,-0.010391235,,,,,,,
,,37.2,-0.010391235,,,,,,,
,,37.22,-0.008308411,,,,,,,
,,37.24,-0.010391235,,,,,,,
,,37.26,-0.006233215,,,,,,,
,,37.28,-0.00415802,,,,,,,
,,37.3,0,,,,,,,
,,37.32,0.002075195,,,,,,,
,,37.34,-0.006233215,,,,,,,
,,37.36,-0.006233215,,,,,,,
,,37.38,0.004150391,,,,,,,
,,37.4,-0.010391235,,,,,,,
,,37.42,-0.00415802,,,,,,,
,,37.44,-0.00415802,,,,,,,
,,37.46,-0.008308411,,,,,,,
,,37.48,-0.006233215,,,,,,,
,,37.5,-0.008308411,,,,,,,
,,37.52,-0.008308411,,,,,,,
,,37.54,-0.006233215,,,,,,,
,,37.56,-0.012466431,,,,,,,
,,37.58,-0.008308411,,,,,,,
,,37.6,-0.002082825,,,,,,,
,,37.62,-0.002082825,,,,,,,
,,37.64,-0.006233215,,,,,,,
,,37.66,-0.008308411,,,,,,,
,,37.68,-0.010391235,,,,,,,
,,37.7,-0.010391235,,,,,,,
,,37.72,-0.006233215,,,,,,,
,,37.74,0,,,,,,,
,,37.76,-0.010391235,,,,,,,
,,37.78,-0.010391235,,,,,,,
,,37.8,-0.010391235,,,,,,,
,,37.82,-0.008308411,,,,,,,
,,37.84,0,,,,,,,
,,37.86,-0.00415802,,,,,,,
,,37.88,-0.00415802,,,,,,,
,,37.9,-0.008308411,,,,,,,
,,37.92,-0.008308411,,,,,,,
,,37.94,-0.00415802,,,,,,,
,,37.96,-0.002082825,,,,,,,
,,37.98,-0.006233215,,,,,,,
,,38,-0.010391235,,,,,,,
,,38.02,-0.010391235,,,,,,,
,,38.04,0,,,,,,,
,,38.06,-0.006233215,,,,,,,
,,38.08,-0.006233215,,,,,,,
,,38.1,-0.002082825,,,,,,,
,,38.12,-0.010391235,,,,,,,
,,38.14,-0.002082825,,,,,,,
,,38.16,-0.00415802,,,,,,,
,,38.18,-0.012466431,,,,,,,
,,38.2,-0.00415802,,,,,,,
,,38.22,-0.006233215,,,,,,,
,,38.24,-0.008308411,,,,,,,
,,38.26,-0.00415802,,,,,,,
,,38.28,-0.006233215,,,,,,,
,,38.3,-0.010391235,,,,,,,
,,38.32,-0.008308411,,,,,,,
,,38.34,-0.00415802,,,,,,,
,,38.36,-0.012466431,,,,,,,
,,38.38,-0.002082825,,,,,,,
,,38.4,-0.006233215,,,,,,,
,,38.42,-0.002082825,,,,,,,
,,38.44,-0.008308411,,,,,,,
,,38.46,-0.002082825,,,,,,,
,,38.48,-0.00415802,,,,,,,
,,38.5,0,,,,,,,
,,38.52,-0.002082825,,,,,,,
,,38.54,-0.00415802,,,,,,,
,,38.56,-0.002082825,,,,,,,
,,38.58,-0.008308411,,,,,,,
,,38.6,-0.006233215,,,,,,,
,,38.62,-0.008308411,,,,,,,
,,38.64,-0.002082825,,,,,,,
,,38.66,-0.00415802,,,,,,,
,,38.68,-0.008308411,,,,,,,
,,38.7,-0.002082825,,,,,,,
,,38.72,-0.010391235,,,,,,,
,,38.74,-0.00415802,,,,,,,
,,38.76,-0.00415802,,,,,,,
,,38.78,-0.012466431,,,,,,,
,,38.8,-0.006233215,,,,,,,
,,38.82,-0.010391235,,,,,,,
,,38.84,0,,,,,,,
,,38.86,-0.00415802,,,,,,,
,,38.88,-0.00415802,,,,,,,
,,38.9,0,,,,,,,
,,38.92,-0.002082825,,,,,,,
,,38.94,-0.00415802,,,,,,,
,,38.96,-0.00415802,,,,,,,
,,38.98,-0.012466431,,,,,,,
,,39,-0.012466431,,,,,,,
,,39.02,-0.00415802,,,,,,,
,,39.04,-0.002082825,,,,,,,
,,39.06,-0.00415802,,,,,,,
,,39.08,-0.006233215,,,,,,,
,,39.1,-0.012466431,,,,,,,
,,39.12,-0.006233215,,,,,,,
,,39.14,-0.014541626,,,,,,,
,,39.16,-0.006233215,,,,,,,
,,39.18,0.002075195,,,,,,,
,,39.2,-0.006233215,,,,,,,
,,39.22,-0.008308411,,,,,,,
,,39.24,-0.006233215,,,,,,,
,,39.26,-0.006233215,,,,,,,
,,39.28,-0.014541626,,,,,,,
,,39.3,0,,,,,,,
,,39.32,-0.012466431,,,,,,,
,,39.34,-0.006233215,,,,,,,
,,39.36,-0.00415802,,,,,,,
,,39.38,0,,,,,,,
