Data Set 1:Time(s),Data Set 1:Force G(N),Data Set 2:Time(s),Data Set 2:Force G(N)
0,0.25084686279296875,0,-0.018692016601562444
0.02,0.24877166748046875,0.02,-0.016616821289062444
0.040000000000000001,0.24669647216796875,0.040000000000000001,-0.016616821289062444
0.059999999999999998,0.2404632568359375,0.059999999999999998,-0.010383605957031194
0.080000000000000002,0.24462127685546875,0.080000000000000002,-0.016616821289062444
0.10000000000000001,0.2425384521484375,0.10000000000000001,-0.018692016601562444
0.12,0.24462127685546875,0.12,-0.020767211914062444
0.14000000000000001,0.24462127685546875,0.14000000000000001,-0.016616821289062444
0.16,0.2383880615234375,0.16,-0.016616821289062444
0.17999999999999999,0.24877166748046875,0.17999999999999999,-0.022850036621093694
0.20000000000000001,0.24669647216796875,0.20000000000000001,-0.018692016601562444
0.22,0.24669647216796875,0.22,-0.016616821289062444
0.23999999999999999,0.24877166748046875,0.23999999999999999,-0.018692016601562444
0.26000000000000001,0.24669647216796875,0.26000000000000001,-0.014541625976562444
0.28000000000000003,0.24669647216796875,0.28000000000000003,-0.018692016601562444
0.29999999999999999,0.24877166748046875,0.29999999999999999,-0.018692016601562444
0.32000000000000001,0.25084686279296875,0.32000000000000001,-0.016616821289062444
0.34000000000000002,0.25084686279296875,0.34000000000000002,-0.020767211914062444
0.35999999999999999,0.25084686279296875,0.35999999999999999,-0.020767211914062444
0.38,0.24877166748046875,0.38,-0.020767211914062444
0.40000000000000002,0.24462127685546875,0.40000000000000002,-0.022850036621093694
0.41999999999999998,0.2425384521484375,0.41999999999999998,-0.020767211914062444
0.44,0.25084686279296875,0.44,-0.016616821289062444
0.46000000000000002,0.24877166748046875,0.46000000000000002,-0.018692016601562444
0.47999999999999998,0.24877166748046875,0.47999999999999998,-0.016616821289062444
0.5,0.24669647216796875,0.5,-0.016616821289062444
0.52000000000000002,0.25084686279296875,0.52000000000000002,-0.020767211914062444
0.54000000000000004,0.24462127685546875,0.54000000000000004,-0.018692016601562444
0.56000000000000005,0.24669647216796875,0.56000000000000005,-0.018692016601562444
0.57999999999999996,0.24462127685546875,0.57999999999999996,-0.020767211914062444
0.59999999999999998,0.24877166748046875,0.59999999999999998,-0.014541625976562444
0.62,0.24669647216796875,0.62,-0.016616821289062444
0.64000000000000001,0.25084686279296875,0.64000000000000001,-0.018692016601562444
0.66000000000000003,0.25084686279296875,0.66000000000000003,-0.016616821289062444
0.68000000000000005,0.24462127685546875,0.68000000000000005,-0.016616821289062444
0.69999999999999996,0.25084686279296875,0.69999999999999996,-0.018692016601562444
0.71999999999999997,0.24462127685546875,0.71999999999999997,-0.014541625976562444
0.73999999999999999,0.2550048828125,0.73999999999999999,-0.020767211914062444
0.76000000000000001,0.24669647216796875,0.76000000000000001,-0.016616821289062444
0.78000000000000003,0.24877166748046875,0.78000000000000003,-0.018692016601562444
